word,ipa,cv,cv_2,freq
দুশ্চিন্তায়,d̪ u ʃ . c i n . t̪ a ʲ,cvc.cvc.cvc,cvc.cvc.cvc,2
আশ্বস্ত,a ʃ . ʃ ɔ s . t̪ o,vc.cvc.cv,vc.cvc.cv,2
হাতের,h a . t̪ e r,cv.cvc,cv.cvc,2
দেখলে,d̪ e kʰ . l e,cvc.cv,cvc.cv,2
গেছেন,g æ . cʰ e n,cv.cvc,cv.cvc,2
বিশাল,b i . ʃ a l,cv.cvc,cv.cvc,2
জলরাশি,ɟ ɔ . l o . r a . ʃ i,cv.cv.cv.cv,cv.cv.cv.cv,2
বয়ে,b o . ʲ e,cv.cv,cv.cv,2
চলা,c ɔ . l a,cv.cv,cv.cv,2
মোটর,m o . t o r,cv.cvc,cv.cvc,2
রেল,r e l,cvc,cvc,2
ব্যাপার,b æ . p a r,cv.cvc,cv.cvc,2
ড্রাইভিং,d r a i̯ . bʰ i ŋ,ccvv.cvc,ccv.cvc,2
পার্ক,p a r k,cvcc,cvcc,2
নদীর,n o . d̪ i r,cv.cvc,cv.cvc,2
ভিতরটা,bʰ i . t̪ o r . t a,cv.cvc.cv,cv.cvc.cv,2
প্রমাণ,p r o . m a n,ccv.cvc,ccv.cvc,2
ধীরে,d̪ʰ i . r e,cv.cv,cv.cv,2
ডাকাডাকিতে,d a . k a . d a . k i . t̪ e,cv.cv.cv.cv.cv,cv.cv.cv.cv.cv,2
পাড়,p a ɽ,cvc,cvc,2
সিঁদূর,ʃ ĩ . d̪ u r,cv.cvc,cv.cvc,2
কপালে,k ɔ . p a . l e,cv.cv.cv,cv.cv.cv,2
ছড়ানো,cʰ ɔ . ɽ a . n o,cv.cv.cv,cv.cv.cv,2
দেবী,d̪ e . b i,cv.cv,cv.cv,2
অফিসে,ɔ . pʰ i . s e,v.cv.cv,v.cv.cv,2
ভোরে,bʰ o . r e,cv.cv,cv.cv,2
দাদাবাবু,d̪ a . d̪ a . b a . b u,cv.cv.cv.cv,cv.cv.cv.cv,2
এছাড়া,æ . cʰ a . ɽ a,v.cv.cv,v.cv.cv,2
উদ্দেশ্যে,u d̪ . d̪ e ʃ . ʃ e,vc.cvc.cv,vc.cvc.cv,2
শিক্ষিত,ʃ i k . kʰ i . t̪ o,cvc.cv.cv,cvc.cv.cv,2
মানা,m a . n a,cv.cv,cv.cv,2
সময়ও,ʃ ɔ . m ɔ ʲ . o,cv.cvc.v,cv.cvc.v,2
নিয়ম,n i . ʲ o m,cv.cvc,cv.cvc,2
ঘড়ির,gʰ o . ɽ i r,cv.cvc,cv.cvc,2
এলিয়ে,e . l i . ʲ e,v.cv.cv,v.cv.cv,2
স্ক্রলিং,s k r ɔ . l i ŋ,cccv.cvc,cccv.cvc,2
অন,ɔ n,vc,vc,2
কয়েকটা,k ɔ ʲ . e k . t a,cvc.vc.cv,cvc.vc.cv,2
জমা,ɟ ɔ . m a,cv.cv,cv.cv,2
ম্যাসেঞ্জার,m æ . s e n . ɟ a r,cv.cvc.cvc,cv.cvc.cvc,2
ওপেন,o . p e n,v.cvc,v.cvc,2
মহালয়ার,m ɔ . h a . l ɔ . a r,cv.cv.cv.vc,cv.cv.cv.vc,2
শুভেচ্ছাবার্তা,ʃ u . bʰ e c . cʰ a . b a r . t̪ a,cv.cvc.cv.cvc.cv,cv.cvc.cv.cvc.cv,2
দিচ্ছে,d̪ i c . cʰ e,cvc.cv,cvc.cv,2
ফেব্রুয়ারি,pʰ e b . b r u . ʷ a . r i,cvc.ccv.cv.cv,cvc.ccv.cv.cv,2
হতাশ,h ɔ . t̪ a ʃ,cv.cvc,cv.cvc,2
ভাই,bʰ a i̯,cvv,cv,2
জুড়ে,ɟ u . ɽ e,cv.cv,cv.cv,2
আপডেট,a p . d e t,vc.cvc,vc.cvc,2
টন,t ɔ n,cvc,cvc,2
ট্রেন্ডে,t r e n . d e,ccvc.cv,ccvc.cv,2
ট্রেন্ড,t r e n d,ccvcc,ccvcc,2
ভাইরাল,bʰ a i̯ . r a l,cvv.cvc,cv.cvc,2
এজন্য,e . ɟ o n . n o,v.cvc.cv,v.cvc.cv,2
ফল,pʰ ɔ l,cvc,cvc,2
নই,n o i̯,cvv,cv,2
উপাধি,u . p a . d̪ʰ i,v.cv.cv,v.cv.cv,2
বিশেষ,b i . ʃ e ʃ,cv.cvc,cv.cvc,2
একান্তই,æ . k a n . t̪ o i̯,v.cvc.cvv,v.cvc.cv,2
ছি,cʰ i,cv,cv,2
খেলার,kʰ æ . l a r,cv.cvc,cv.cvc,2
অনুমতি,o . n u . m o . t̪ i,v.cv.cv.cv,v.cv.cv.cv,2
চায়নি,c a ʲ . n i,cvc.cv,cvc.cv,2
যোগ্যতা,ɟ o g . g o . t̪ a,cvc.cv.cv,cvc.cv.cv,2
ছিনিয়ে,cʰ i . n i . ʲ e,cv.cv.cv,cv.cv.cv,2
বসেই,b o . ʃ e i̯,cv.cvv,cv.cv,2
দিনশেষে,d̪ i n . ʃ e . ʃ e,cvc.cv.cv,cvc.cv.cv,2
স্কুলে,s k u . l e,ccv.cv,ccv.cv,2
শুনেছি,ʃ u . n e . cʰ i,cv.cv.cv,cv.cv.cv,2
ছোটো,cʰ o . t o,cv.cv,cv.cv,2
অঞ্চল,ɔ n . c ɔ l,vc.cvc,vc.cvc,2
পদে,p ɔ . d̪ e,cv.cv,cv.cv,2
মুহূর্তে,m u . h u r . t̪ e,cv.cvc.cv,cv.cvc.cv,2
বুকে,b u . k e,cv.cv,cv.cv,2
ভয়াবহ,bʰ ɔ . ʲ a . b ɔ . h o,cv.cv.cv.cv,cv.cv.cv.cv,2
পাড়ায়,p a . ɽ a ʲ,cv.cvc,cv.cvc,2
সংখ্যা,ʃ o ŋ . kʰ a,cvc.cv,cvc.cv,2
হয়েই,h o . ʲ e . i,cv.cv.v,cv.cv.v,2
কার্যকর,k a r . ɟ o . k ɔ r,cvc.cv.cvc,cvc.cv.cvc,2
সাহসীকতার,ʃ a . h o . ʃ i . k ɔ . t̪ a r,cv.cv.cv.cv.cvc,cv.cv.cv.cv.cvc,2
দিয়েছিল,d̪ i . ʲ e . cʰ i . l o,cv.cv.cv.cv,cv.cv.cv.cv,2
থাকলেও,t̪ʰ a k . l e o̯,cvc.cvv,cvc.cv,2
স্কুল,s k u l,ccvc,ccvc,2
হাল,h a l,cvc,cvc,2
নামক,n a . m o k,cv.cvc,cv.cvc,2
সমুদ্র,ʃ o . m u d̪ . d̪ r o,cv.cvc.ccv,cv.cvc.ccv,2
কেড়ে,k e . ɽ e,cv.cv,cv.cv,2
নিয়েছে,n i . ʲ e . cʰ e,cv.cv.cv,cv.cv.cv,2
রোজ,r o ɟ,cvc,cvc,2
পেত,p e . t̪ o,cv.cv,cv.cv,2
পরিবারকে,p o . r i . b a r . k e,cv.cv.cvc.cv,cv.cv.cvc.cv,2
চেয়েছিলাম,c e . ʲ e . cʰ i . l a m,cv.cv.cv.cvc,cv.cv.cv.cvc,2
ভাষায়,bʰ a . ʃ a ʲ,cv.cvc,cv.cvc,2
দাঁড়,d̪ ã ɽ,cvc,cvc,2
ফোঁশকা,pʰ õ ʃ . k a,cvc.cv,cvc.cv,2
কিশোর,k i . ʃ o r,cv.cvc,cv.cvc,2
লাইফ,l a i̯ pʰ,cvvc,cvc,2
সাপোর্ট,s a . p o r t,cv.cvcc,cv.cvcc,2
প্রয়োজন,p r o ʲ . o . ɟ o n,ccvc.v.cvc,ccvc.v.cvc,2
বিপদের,b i . p ɔ . d̪ e r,cv.cv.cvc,cv.cv.cvc,2
বাঁচানোর,b ã . c a . n o r,cv.cv.cvc,cv.cv.cvc,2
কাজে,k a . ɟ e,cv.cv,cv.cv,2
ছেলেবেলায়,cʰ e . l e . b æ . l a ʲ,cv.cv.cv.cvc,cv.cv.cv.cvc,2
শুকনো,ʃ u k . n o,cvc.cv,cvc.cv,2
হালকা,h a l . k a,cvc.cv,cvc.cv,2
অল্প,ɔ l . p o,vc.cv,vc.cv,2
ক্রসের,k r ɔ . s e r,ccv.cvc,ccv.cvc,2
থাকত,t̪ʰ a k . t̪ o,cvc.cv,cvc.cv,2
ভারী,bʰ a . r i,cv.cv,cv.cv,2
কর্কশিট,k ɔ r . k o . ʃ i t,cvc.cv.cvc,cvc.cv.cvc,2
নৌকার,n o u̯ . k a r,cvv.cvc,cv.cvc,2
রাখত,r a kʰ . t̪ o,cvc.cv,cvc.cv,2
পাটাতন,p a . t a . t̪ ɔ n,cv.cv.cvc,cv.cv.cvc,2
মহাজনের,m ɔ . h a . ɟ ɔ . n e r,cv.cv.cv.cvc,cv.cv.cv.cvc,2
ট্রলারের,t r ɔ . l a . r e r,ccv.cv.cvc,ccv.cv.cvc,2
মোট,m o t,cvc,cvc,2
ট্রলারে,t r ɔ . l a . r e,ccv.cv.cv,ccv.cv.cv,2
যাত্রা,ɟ a t̪ . t̪ r a,cvc.ccv,cvc.ccv,2
কাছাকাছি,k a . cʰ a . k a . cʰ i,cv.cv.cv.cv,cv.cv.cv.cv,2
পাড়ের,p a . ɽ e r,cv.cvc,cv.cvc,2
জেলেরা,ɟ e . l e . r a,cv.cv.cv,cv.cv.cv,2
শ্রদ্ধা,s r o d̪ . d̪ʰ a,ccvc.cv,ccvc.cv,2
আগ,a g,vc,vc,2
কিছুদিনের,k i . cʰ u . d̪ i . n e r,cv.cv.cv.cvc,cv.cv.cv.cvc,2
ঈদ,i d̪,vc,vc,2
শিক্ষা,ʃ i k . kʰ a,cvc.cv,cvc.cv,2
শেখা,ʃ e . kʰ a,cv.cv,cv.cv,2
কিছুতেই,k i . cʰ u . t̪ e i̯,cv.cv.cvv,cv.cv.cv,2
ছেলের,cʰ e . l e r,cv.cvc,cv.cvc,2
শুনেছিল,ʃ u . n e . cʰ i . l o,cv.cv.cv.cv,cv.cv.cv.cv,2
ভেবেছিল,bʰ e . b e . cʰ i . l o,cv.cv.cv.cv,cv.cv.cv.cv,2
যুগের,ɟ u . g e r,cv.cvc,cv.cvc,2
উপার্জনের,u . p a r . ɟ o . n e r,v.cvc.cv.cvc,v.cvc.cv.cvc,2
খবরদারি,kʰ ɔ . b o r . d̪ a . r i,cv.cvc.cv.cv,cv.cvc.cv.cv,2
রুমে,r u . m e,cv.cv,cv.cv,2
একবারও,æ k . b a r . o,vc.cvc.v,vc.cvc.v,2
ওরা,o . r a,v.cv,v.cv,2
বাগান,b a . g a n,cv.cvc,cv.cvc,2
পুকুর,p u . k u r,cv.cvc,cv.cvc,2
জমি,ɟ o . m i,cv.cv,cv.cv,2
দেখাতে,d̪ æ . kʰ a . t̪ e,cv.cv.cv,cv.cv.cv,2
বৌমাকে,b o u̯ . m a . k e,cvv.cv.cv,cv.cv.cv,2
বাগানে,b a . g a . n e,cv.cv.cv,cv.cv.cv,2
বুঝতে,b u ɟʰ . t̪ e,cvc.cv,cvc.cv,2
গহনাগুলো,g ɔ . h o . n a . g u . l o,cv.cv.cv.cv.cv,cv.cv.cv.cv.cv,2
অথবা,ɔ . t̪ʰ o . b a,v.cv.cv,v.cv.cv,2
জনপ্রিয়,ɟ ɔ . n o p . p r i . ʲ o,cv.cvc.ccv.cv,cv.cvc.ccv.cv,2
বয়সেই,b ɔ ʲ . o . ʃ e i̯,cvc.v.cvv,cvc.v.cv,2
বুকটা,b u k . t a,cvc.cv,cvc.cv,2
ছ্যাৎ,cʰ æ t̪,cvc,cvc,2
নামকরা,n a m . k ɔ . r a,cvc.cv.cv,cvc.cv.cv,2
অঙ্ক,ɔ ŋ . k o,vc.cv,vc.cv,2
বিপর্যয়,b i . p ɔ r . ɟ ɔ ʲ,cv.cvc.cvc,cv.cvc.cvc,2
সিদ্ধান্ত,s i d̪ . d̪ʰ a n . t̪ o,cvc.cvc.cv,cvc.cvc.cv,2
খামারে,kʰ a . m a . r e,cv.cv.cv,cv.cv.cv,2
করায়,k ɔ . r a ʲ,cv.cvc,cv.cvc,2
তাকাতেই,t̪ a . k a . t̪ e i̯,cv.cv.cvv,cv.cv.cv,2
মুখের,m u . kʰ e r,cv.cvc,cv.cvc,2
ঝুকে,ɟʰ u . k e,cv.cv,cv.cv,2
রুমের,r u . m e r,cv.cvc,cv.cvc,2
গুলিয়ে,g u . l i . ʲ e,cv.cv.cv,cv.cv.cv,2
পারলাম,p a r . l a m,cvc.cvc,cvc.cvc,2
শক্তি,ʃ o k . t̪ i,cvc.cv,cvc.cv,2
ঘাবড়ে,gʰ a b . ɽ e,cvc.cv,cvc.cv,2
বিছানা,b i . cʰ a . n a,cv.cv.cv,cv.cv.cv,2
দৌড়ে,d̪ o u̯ . ɽ e,cvv.cv,cv.cv,2
উঠোনে,u . tʰ o . n e,v.cv.cv,v.cv.cv,2
অনাহারী,ɔ . n a . h a . r i,v.cv.cv.cv,v.cv.cv.cv,2
রেখেছে,r e . kʰ e . cʰ e,cv.cv.cv,cv.cv.cv,2
ঘুমের,gʰ u . m e r,cv.cvc,cv.cvc,2
গোঁ,g õ,cv,cv,2
জড়িয়ে,ɟ o . ɽ i . ʲ e,cv.cv.cv,cv.cv.cv,2
আদায়,a . d̪ a ʲ,v.cvc,v.cvc,2
মুক্তির,m u k . t̪ i r,cvc.cvc,cvc.cvc,2
মজুদ,m o . ɟ u d̪,cv.cvc,cv.cvc,2
আগের,a . g e r,v.cvc,v.cvc,2
প্রকৃত,p r o . k r i . t̪ o,ccv.ccv.cv,ccv.ccv.cv,2
সুখ,ʃ u kʰ,cvc,cvc,2
ধানের,d̪ʰ a . n e r,cv.cvc,cv.cvc,2
জমিতে,ɟ o . m i . t̪ e,cv.cv.cv,cv.cv.cv,2
মাঠের,m a . tʰ e r,cv.cvc,cv.cvc,2
অজুহাত,o . ɟ u . h a t̪,v.cv.cvc,v.cv.cvc,2
গেলো,g æ . l o,cv.cv,cv.cv,2
শ্বশুর,ʃ o . ʃ u r,cv.cvc,cv.cvc,2
ছেলেরা,cʰ e . l e . r a,cv.cv.cv,cv.cv.cv,2
ফাইনাল,pʰ a i̯ . n a l,cvv.cvc,cv.cvc,2
স্বামীকে,ʃ a . m i . k e,cv.cv.cv,cv.cv.cv,2
পরীক্ষার,p o . r i k . kʰ a r,cv.cvc.cvc,cv.cvc.cvc,2
প্রস্তুতি,p r o s . t̪ u . t̪ i,ccvc.cv.cv,ccvc.cv.cv,2
পারবেন,p a r . b e n,cvc.cvc,cvc.cvc,2
বলেছে,b o . l e . cʰ e,cv.cv.cv,cv.cv.cv,2
ইন্টারভিউ,i n . t a r . bʰ i u̯,vc.cvc.cvv,vc.cvc.cv,2
বলেছি,b o . l e . cʰ i,cv.cv.cv,cv.cv.cv,2
যেহেতু,ɟ e . h e . t̪ u,cv.cv.cv,cv.cv.cv,2
এইবার,e i̯ . b a r,vv.cvc,v.cvc,2
লিখিত,l i . kʰ i . t̪ o,cv.cv.cv,cv.cv.cv,2
রান,r a n,cvc,cvc,2
তোলার,t̪ o . l a r,cv.cvc,cv.cvc,2
অন্যদের,o n . n o . d̪ e r,vc.cv.cvc,vc.cv.cvc,2
খেলতে,kʰ e l . t̪ e,cvc.cv,cvc.cv,2
ইনিংস,i . n i ŋ s,v.cvcc,v.cvcc,2
দিনের,d̪ i . n e r,cv.cvc,cv.cvc,2
বিশেষণে,b i . ʃ e . ʃ ɔ . n e,cv.cv.cv.cv,cv.cv.cv.cv,2
বিশেষায়িত,b i . ʃ e . ʃ a ʲ . i . t̪ o,cv.cv.cvc.v.cv,cv.cv.cvc.v.cv,2
ওভার,o . bʰ a r,v.cvc,v.cvc,2
উত্তেজনা,u t̪ . t̪ e . ɟ o . n a,vc.cv.cv.cv,vc.cv.cv.cv,2
দুর্দান্ত,d̪ u r . d̪ a n . t̪ o,cvc.cvc.cv,cvc.cvc.cv,2
পয়েন্ট,p ɔ ʲ . e n t,cvc.vcc,cvc.vcc,2
ধুয়ে,d̪ʰ u . ʲ e,cv.cv,cv.cv,2
পুত্র,p u t̪ . r o,cvc.cv,cvc.cv,2
কাটিয়ে,k a . t i . ʲ e,cv.cv.cv,cv.cv.cv,2
শুনতাম,ʃ u n . t̪ a m,cvc.cvc,cvc.cvc,2
অবলোকন,ɔ . b o . l o . k o n,v.cv.cv.cvc,v.cv.cv.cvc,2
অভিজ্ঞতা,o . bʰ i g . g ɔ̃ . t̪ a,v.cvc.cv.cv,v.cvc.cv.cv,2
ইনিংসটাই,i . n i ŋ s . t a i̯,v.cvcc.cvv,v.cvcc.cv,2
খেললেন,kʰ e l . l e n,cvc.cvc,cvc.cvc,2
পরপর,p ɔ r . p ɔ r,cvc.cvc,cvc.cvc,2
ম্যাচের,m æ . c e r,cv.cvc,cv.cvc,2
কিক,k i k,cvc,cvc,2
কারণে,k a . r o . n e,cv.cv.cv,cv.cv.cv,2
ম্যাচে,m æ . c e,cv.cv,cv.cv,2
দাম,d̪ a m,cvc,cvc,2
সোনার,ʃ o . n a r,cv.cvc,cv.cvc,2
ব্যবহৃত,b æ . b o . h r i . t̪ o,cv.cv.ccv.cv,cv.cv.ccv.cv,2
জিনিস,ɟ i . n i ʃ,cv.cvc,cv.cvc,2
তারকা,t̪ a . r o . k a,cv.cv.cv,cv.cv.cv,2
কালের,k a . l e r,cv.cvc,cv.cvc,2
খবরের,kʰ ɔ . b o . r e r,cv.cv.cvc,cv.cv.cvc,2
ফোনের,pʰ o . n e r,cv.cvc,cv.cvc,2
দোস্ত,d̪ o s . t̪ o,cvc.cv,cvc.cv,2
রাতের,r a . t̪ e r,cv.cvc,cv.cvc,2
শিবুকে,ʃ i . b u . k e,cv.cv.cv,cv.cv.cv,2
মন্দ,m ɔ n . d̪ o,cvc.cv,cvc.cv,2
চাদরে,c a . d̪ o . r e,cv.cv.cv,cv.cv.cv,2
কাঁপা,k ã . p a,cv.cv,cv.cv,2
ভাইয়ের,bʰ a i̯ . e r,cvv.vc,cv.vc,2
যায়নি,ɟ a ʲ . n i,cvc.cv,cvc.cv,2
সন্তানেরা,ʃ ɔ n . t̪ a . n e . r a,cvc.cv.cv.cv,cvc.cv.cv.cv,2
আমারই,a . m a r . i,v.cvc.v,v.cvc.v,2
ভালোই,bʰ a . l o i̯,cv.cvv,cv.cv,2
দাদা,d̪ a . d̪ a,cv.cv,cv.cv,2
শুনছি,ʃ u n . cʰ i,cvc.cv,cvc.cv,2
উনি,u . n i,v.cv,v.cv,2
রুমটা,r u m . t a,cvc.cv,cvc.cv,2
ঘরটা,gʰ ɔ r . t a,cvc.cv,cvc.cv,2
পেতাম,p e . t̪ a m,cv.cvc,cv.cvc,2
স্কোর,s k o r,ccvc,ccvc,2
শো,ʃ o,cv,cv,2
একদিনে,æ k . d̪ i . n e,vc.cv.cv,vc.cv.cv,2
সাধনা,ʃ a . d̪ʰ o . n a,cv.cv.cv,cv.cv.cv,2
ক্ষুদ্র,kʰ u d̪ . d̪ r o,cvc.ccv,cvc.ccv,2
সম্পদ,ʃ ɔ m . p ɔ d̪,cvc.cvc,cvc.cvc,2
জানাও,ɟ a . n a o̯,cv.cvv,cv.cv,2
এটাই,e . t a . i,v.cv.v,v.cv.v,2
ঘ্রাণ,gʰ r a n,ccvc,ccvc,2
এটার,e . t a r,v.cvc,v.cvc,2
থাকো,t̪ʰ a . k o,cv.cv,cv.cv,2
কাজটা,k a ɟ . t a,cvc.cv,cvc.cv,2
সুস্থ,ʃ u s . t̪ʰ o,cvc.cv,cvc.cv,2
চান,c a n,cvc,cvc,2
সকালের,ʃ ɔ . k a . l e r,cv.cv.cvc,cv.cv.cvc,2
প্রাতরাশ,p r a . t̪ o . r a ʃ,ccv.cv.cvc,ccv.cv.cvc,2
শক্তিবর্ধনীয়,ʃ o k . t̪ i . b ɔ r . d̪ʰ o . n i . ʲ o,cvc.cv.cvc.cv.cv.cv,cvc.cv.cvc.cv.cv.cv,2
ঠেলে,tʰ e . l e,cv.cv,cv.cv,2
বকে,b ɔ . k e,cv.cv,cv.cv,2
ধাক্কা,d̪ʰ a k . k a,cvc.cv,cvc.cv,2
অনুষ্ঠানটি,o . n u ʃ . tʰ a n . t i,v.cvc.cvc.cv,v.cvc.cvc.cv,2
উপস্থাপনা,u . p o s . t̪ʰ a . p o . n a,v.cvc.cv.cv.cv,v.cvc.cv.cv.cv,2
ব্যাপারে,b æ . p a . r e,cv.cv.cv,cv.cv.cv,2
হবেন,h ɔ . b e n,cv.cvc,cv.cvc,2
পড়ুন,p o . ɽ u n,cv.cvc,cv.cvc,2
নিমন্ত্রণ,n i . m ɔ n . t̪ r o n,cv.cvc.ccvc,cv.cvc.ccvc,2
আন্তরিকতা,a n . t̪ o . r i . k ɔ . t̪ a,vc.cv.cv.cv.cv,vc.cv.cv.cv.cv,2
অতিথিকে,o . t̪ i . t̪ʰ i . k e,v.cv.cv.cv,v.cv.cv.cv,2
দুর্নাম,d̪ u r . n a m,cvc.cvc,cvc.cvc,2
আন্তরিক,a n . t̪ o . r i k,vc.cv.cvc,vc.cv.cvc,2
ভণ্ডামি,bʰ ɔ n . d a . m i,cvc.cv.cv,cvc.cv.cv,2
ডাক্তার,d a k . t̪ a r,cvc.cvc,cvc.cvc,2
তাড়াতাড়ি,t̪ a . ɽ a . t̪ a . ɽ i,cv.cv.cv.cv,cv.cv.cv.cv,2
নির্দয়,n i r . d̪ ɔ ʲ,cvc.cvc,cvc.cvc,2
আজই,a ɟ . i,vc.v,vc.v,2
সার্টিফিকেট,s a r . t i . pʰ i . k e t,cvc.cv.cv.cvc,cvc.cv.cv.cvc,2
তুলুন,t̪ u . l u n,cv.cvc,cv.cvc,2
কম্পিউটার,k ɔ m . p i u̯ . t a r,cvc.cvv.cvc,cvc.cv.cvc,2
আনন্দিত,a . n o n . d̪ i . t̪ o,v.cvc.cv.cv,v.cvc.cv.cv,2
ভর্ৎসনা,bʰ ɔ r t̪ . ʃ ɔ . n a,cvcc.cv.cv,cvcc.cv.cv,2
অম্লান,ɔ m . l a n,vc.cvc,vc.cvc,2
তন্ময়,t̪ ɔ n . m ɔ ʲ,cvc.cvc,cvc.cvc,2
আক্কেল,a k . k e l,vc.cvc,vc.cvc,2
তুলেছে,t̪ u . l e . cʰ e,cv.cv.cv,cv.cv.cv,2
অনাঘ্রাত,ɔ . n a . gʰ r a t̪,v.cv.ccvc,v.cv.ccvc,2
হিন্দুধর্ম,h i n . d̪ u . d̪ʰ ɔ r . m o,cvc.cv.cvc.cv,cvc.cv.cvc.cv,2
ব্রহ্ম,b r ɔ m . h o,ccvc.cv,ccvc.cv,2
আগুন,a . g u n,v.cvc,v.cvc,2
ষণ্নবতি,ʃ ɔ n . n o . b o . t̪ i,cvc.cv.cv.cv,cvc.cv.cv.cv,2
সস্ত্রীক,ʃ ɔ . s t̪ r i k,cv.cccvc,cv.cccvc,2
নক্ষত্রের,n ɔ k . kʰ ɔ t̪ . t̪ r e r,cvc.cvc.ccvc,cvc.cvc.ccvc,2
ধরা,d̪ʰ ɔ . r a,cv.cv,cv.cv,2
যার,ɟ a r,cvc,cvc,2
মোবাইলটা,m o . b a i̯ l . t a,cv.cvvc.cv,cv.cvc.cv,2
রাখ,r a . kʰ o,cv.cv,cv.cv,2
লেখাটা,l e . kʰ a . t a,cv.cv.cv,cv.cv.cv,2
পড়,p ɔ ɽ,cvc,cvc,2
বল,b ɔ l,cvc,cvc,2
উনত্রিশ,u . n o t̪ . t̪ r i ʃ,v.cvc.ccvc,v.cvc.ccvc,2
নম্বর,n ɔ m . b o r,cvc.cvc,cvc.cvc,2
পৃষ্ঠা,p r i ʃ . tʰ a,ccvc.cv,ccvc.cv,2
খোল,kʰ o l,cvc,cvc,2
নয়ত,n ɔ ʲ . t̪ o,cvc.cv,cvc.cv,2
বেলা,b æ . l a,cv.cv,cv.cv,2
ঘুমিয়েছিস,gʰ u . m i . ʲ e . cʰ i ʃ,cv.cv.cv.cvc,cv.cv.cv.cvc,2
ওঠ,o tʰ,vc,vc,2
চুপ,c u p,cvc,cvc,2
শোন,ʃ o . n o,cv.cv,cv.cv,2
মনযোগ,m o . n o . ɟ o g,cv.cv.cvc,cv.cv.cvc,2
লিখ,l i . kʰ o,cv.cv,cv.cv,2
খাবি,kʰ a . b i,cv.cv,cv.cv,2
ভাব,bʰ a b,cvc,cvc,2
বোতল,b o . t̪ o l,cv.cvc,cv.cvc,2
কিন,k i n,cvc,cvc,2
ধর,d̪ʰ ɔ r,cvc,cvc,2
ফেল,pʰ e l,cvc,cvc,2
নয়তো,n ɔ ʲ . t̪ o,cvc.cv,cvc.cv,2
সর,ʃ ɔ r,cvc,cvc,2
লুচিগুলো,l u . c i . g u . l o,cv.cv.cv.cv,cv.cv.cv.cv,2
বেল,b e l,cvc,cvc,2
পায়েশটা,p a ʲ . e ʃ . t a,cvc.vc.cv,cvc.vc.cv,2
ঢাক,dʰ a k,cvc,cvc,2
সুখে,ʃ u . kʰ e,cv.cv,cv.cv,2
নাচ,n a c,cvc,cvc,2
হাঁট,h ã t,cvc,cvc,2
বেচ,b e c,cvc,cvc,2
আসছি,a ʃ . cʰ i,vc.cv,vc.cv,2
এইখানে,e i̯ . kʰ a . n e,vv.cv.cv,v.cv.cv,2
চেয়ারটা,c e . ʲ a r . t a,cv.cvc.cv,cv.cvc.cv,2
ওদিকে,o . d̪ i . k e,v.cv.cv,v.cv.cv,2
তীক্ষ্ণ,t̪ i kʰ . n o,cvc.cv,cvc.cv,2
রাখতে,r a kʰ . t̪ e,cvc.cv,cvc.cv,2
ভাগ্য,bʰ a g . g o,cvc.cv,cvc.cv,2
গ্রহ,g r o . h o,ccv.cv,ccv.cv,2
স্বাস্থ্য,ʃ a s . t̪ʰ o,cvc.cv,cvc.cv,2
ঘি,gʰ i,cv,cv,2
রোগের,r o . g e r,cv.cvc,cv.cvc,2
আকাঙ্ক্ষা,a . k a ŋ . kʰ a,v.cvc.cv,v.cvc.cv,2
তৎপর,t̪ ɔ t̪ . p ɔ r,cvc.cvc,cvc.cvc,2
সম্পন্ন,ʃ ɔ m . p ɔ n . n o,cvc.cvc.cv,cvc.cvc.cv,2
রন্ধ্রে,r ɔ n . d̪ʰ r e,cvc.ccv,cvc.ccv,2
দাসত্ব,d̪ a . ʃ o t̪ . t̪ o,cv.cvc.cv,cv.cvc.cv,2
বৈশিষ্ট্য,b o i̯ . ʃ i ʃ . t o,cvv.cvc.cv,cv.cvc.cv,2
গুরুত্বপূর্ণ,g u . r u t̪ . t̪ o . p u r n . n o,cv.cvc.cv.cvcc.cv,cv.cvc.cv.cvcc.cv,2
বর্গ,b ɔ r . g o,cvc.cv,cvc.cv,2
বাংলায়,b a ŋ . l a ʲ,cvc.cvc,cvc.cvc,2
খাদ্য,kʰ a d̪ . d̪ o,cvc.cv,cvc.cv,2
ধর্ম,d̪ʰ ɔ r m . m o,cvcc.cv,cvcc.cv,2
কোর্টে,k o r . t e,cvc.cv,cvc.cv,2
প্রয়োগ,p r o ʲ . o g,ccvc.vc,ccvc.vc,2
শুদ্ধ,ʃ u d̪ . d̪ʰ o,cvc.cv,cvc.cv,2
ঐক্যমত,o i̯ k . k o . m ɔ t̪,vvc.cv.cvc,vc.cv.cvc,2
উপন্যাস,u . p o n . n a ʃ,v.cvc.cvc,v.cvc.cvc,2
ঐতিহ্য,o i̯ . t̪ i ɟ . ɟʰ o,vv.cvc.cv,v.cvc.cv,2
লিখেছেন,l i . kʰ e . cʰ e n,cv.cv.cvc,cv.cv.cvc,2
মাপুন,m a . p u n,cv.cvc,cv.cvc,2
মুক্ত,m u k . t̪ o,cvc.cv,cvc.cv,2
বানান,b a . n a n,cv.cvc,cv.cvc,2
দলে,d̪ ɔ . l e,cv.cv,cv.cv,2
ভাগ,bʰ a g,cvc,cvc,2
রাজ্যে,r a ɟ . ɟ e,cvc.cv,cvc.cv,2
