word,ipa,freq
লাঙ্গল,l a ŋ . g o l,3
ক্ষ্যাত,kʰ æ t̪,3
মতে,m ɔ . t̪ e,3
ঘটনা,gʰ ɔ . t o . n a,3
ব্যক্তিগত,b e k . t̪ i . g ɔ . t̪ o,3
উপস্থিত,u . p o s . t̪ʰ i t̪,3
উদাহরণ,u . d̪ a . h ɔ . r o n,3
কিশোরের,k i . ʃ o . r e r,3
বললেই,b o l . l e i̯,3
সাগরে,ʃ a . g o . r e,3
ধরতে,d̪ʰ o r . t̪ e,3
মাঝ,m a ɟʰ,3
সমুদ্রে,ʃ o . m u d̪ . d̪ r e,3
সাগরের,ʃ a . g o . r e r,3
ঢেউ,dʰ e u̯,3
লড়াকু,l ɔ . ɽ a . k u,3
মিডিয়া,m i . d i . ʲ a,3
রিপোর্ট,r i . p o r t,3
পড়েছে,p o . ɽ e . cʰ e,3
মানুষগুলোকে,m a . n u ʃ . g u . l o . k e,3
অসীম,ɔ . ʃ i m,3
বাধ্য,b a d̪ . d̪ʰ o,3
জানা,ɟ a . n a,3
পরিবারের,p o . r i . b a . r e r,3
বলেছিল,b o . l e . cʰ i . l o,3
লাগাতে,l a . g a . t̪ e,3
চাইল,c a i̯ . l o,3
বেঁধে,b ẽ . d̪ʰ e,3
ভাসিয়ে,bʰ a . ʃ i . ʲ e,3
সমান,ʃ ɔ . m a n,3
ডাক,d a k,3
পঞ্চাশ,p ɔ n . c a ʃ,3
জেলে,ɟ e . l e,3
সাড়া,ʃ a . ɽ a,3
চেয়েছিল,c e . ʲ e . cʰ i . l o,3
নিশ্চয়তা,n i ʃ . c ɔ ʲ . o . t̪ a,3
খবরটা,kʰ ɔ . b o r . t a,3
কঠিন,k o . tʰ i n,3
শাশুড়িকে,ʃ a . ʃ u . ɽ i . k e,3
গলায়,g ɔ . l a ʲ,3
ঘুরিয়ে,gʰ u . r i . ʲ e,3
জি,ɟ i,3
উত্তর,u t̪ . t̪ o r,3
গহনা,g ɔ . h o . n a,3
আনতে,a n . t̪ e,3
মৃত্যু,m r i t̪ . t̪ u,3
অথচ,ɔ . t̪ʰ o . c o,3
ছয়,cʰ ɔ ʲ,3
মহামারি,m ɔ . h a . m a . r i,3
ঘণ্টার,gʰ ɔ n . t a r,3
সবজি,ʃ o b . ɟ i,3
পড়েছিলাম,p o . ɽ e . cʰ i . l a m,3
মাংশ,m a ŋ . ʃ o,3
পানির,p a . n i r,3
স্ত্রী,s t̪ r i,3
শক্ত,ʃ ɔ k . t̪ o,3
মুক্তি,m u k . t̪ i,3
আশেপাশের,a . ʃ e . p a . ʃ e r,3
আশা,a . ʃ a,3
যাতে,ɟ a . t̪ e,3
সারি,ʃ a . r i,3
ক্ষেতের,kʰ e . t̪ e r,3
বেগুনের,b e . g u . n e r,3
বিষয়,b i . ʃ ɔ ʲ,3
শুনলাম,ʃ u n . l a m,3
ছুটি,cʰ u . t i,3
চিন্তা,c i n . t̪ a,3
চাপ,c a p,3
অসাধারণ,ɔ . ʃ a . d̪ʰ a . r o n,3
ভাঙল,bʰ a ŋ . l o,3
ই,i,3
স্পটে,s p ɔ . t e,3
“,n a n,3
রাখুন,r a . kʰ u n,3
সকলের,ʃ ɔ . k o . l e r,3
নিন,n i n,3
মাধ্যমে,m a d̪ . d̪ʰ o . m e,3
সরে,ʃ o . r e,3
বেলে,b e . l e,3
দিচ্ছি,d̪ i c . cʰ i,3
সেঁকে,ʃ ẽ . k e,3
উচ্চারণ,u c . c a . r o n,3
ছাড়ুন,cʰ a . ɽ u n,3
থামান,t̪ʰ a . m a n,3
প্রতি,p r o . t̪ i,3
দেখ,d̪ æ kʰ,3
পাতায়,p a . t̪ a ʲ,3
নাও,n a o̯,3
মেয়েদের,m e . ʲ e . d̪ e r,3
অংশ,ɔ ŋ . ʃ o,3
হও,h ɔ o̯,3
নারী,n a . r i,3
হল,h ɔ l,3
অতি,o . t̪ i,3
লক্ষ্য,l o k . kʰ o,3
দায়,d̪ a ʲ,3
ভেঙ্গে,bʰ e ŋ . g e,2
ফ্রেশ,pʰ r e ʃ,2
সৌন্দর্যের,ʃ o u̯ n . d̪ ɔ r . ɟ e r,2
অপরূপ,ɔ . p o . r u p,2
লালচে,l a l . c e,2
কমলা,k ɔ m . l a,2
আভা,a . bʰ a,2
ছড়িয়ে,cʰ o . ɽ i . ʲ e,2
সগৌরবে,ʃ ɔ . g o u̯ . r ɔ . b e,2
আবির্ভাবের,a . b i r . bʰ a . b e r,2
নত,n ɔ . t̪ o,2
অভিবাদন,o . bʰ i . b a . d̪ o n,2
বললাম,b o l . l a m,2
দেবে,d̪ e . b e,2
টেনশনে,t e n . ʃ o . n e,2
ঘুমাতে,gʰ u . m a . t̪ e,2
বুলিয়ে,b u . l i . ʲ e,2
করিস,k o . r i ʃ,2
তোর,t̪ o r,2
ব্যালকনিতে,b æ l . k o . n i . t̪ e,2
খাঁচা,kʰ ã . c a,2
কখনও,k ɔ . kʰ o . n o,2
মায়া,m a . ʲ a,2
আটকাতে,a t . k a . t̪ e,2
আশেপাশে,a . ʃ e . p a . ʃ e,2
আরেকটা,a . r e k . t a,2
কোনোভাবেই,k o . n o . bʰ a . b e i̯,2
মেরে,m e . r e,2
গুমড়ে,g u m . ɽ e,2
বাইরের,b a i̯ . r e r,2
চেনে,c e . n e,2
অজানা,ɔ . ɟ a . n a,2
পড়ি,p o . ɽ i,2
টের,t e r,2
পাইনি,p a i̯ . n i,2
সন্ধ্যায়,ʃ o n . d̪ʰ a ʲ,2
অভ্যাসবশত,o b . bʰ æ ʃ . b ɔ . ʃ o . t̪ o,2
খাঁচার,kʰ ã . c a r,2
অবাক,ɔ . b a k,2
খুশিতে,kʰ u . ʃ i . t̪ e,2
এলো,e . l o,2
হাতটা,h a t̪ . t a,2
ঘাটতি,gʰ a t . t̪ i,2
দুঃশ্চিন্তা,d̪ u ʃ . c i n . t̪ a,2
যাদের,ɟ a . d̪ e r,2
প্রচলিত,p r o . c o . l i . t̪ o,2
যেসব,ɟ e . ʃ ɔ b,2
ভাগ্যবতী,bʰ a g . g o . b o . t̪ i,2
জানালেন,ɟ a . n a . l e n,2
পাঠিয়েছেন,p a . tʰ i . ʲ e . cʰ e n,2
কিনতে,k i n . t̪ e,2
পাবলিশড,p a b . l i ʃ d,2
আত্মীয়,a t̪ . t̪ ĩ . ʲ o,2
আম্মুর,a m . m u r,2
অভিযোগ,o . bʰ i . ɟ o g,2
প্রবেশ,p r o . b e ʃ,2
গেলেন,g e . l e n,2
পাচ্ছিলাম,p a c . cʰ i . l a m,2
স্মরণ,ʃ ɔ̃ . r o n,2
করিয়ে,k o . r i . ʲ e,2
দশমিক,d̪ ɔ . ʃ o . m i k,2
পরেই,p ɔ . r e i̯,2
প্রতিটি,p r o . t̪ i . t i,2
সেকেন্ড,s e . k e n d,2
সেকেন্ডের,s e . k e n . d e r,2
প্রবাহিত,p r o . b a . h i . t̪ o,2
বেড়ে,b e . ɽ e,2
বুকের,b u . k e r,2
বলদ,b ɔ . l o d̪,2
দরজার,d̪ ɔ r . ɟ a r,2
বারান্দায়,b a . r a n . d̪ a ʲ,2
স্বাদ,ʃ a d̪,2
একা,æ . k a,2
ভক্তকে,bʰ ɔ k . t̪ o . k e,2
দিতেই,d̪ i . t̪ e i̯,2
মুগ্ধ,m u g . d̪ʰ o,2
হই,h o i̯,2
কাকে,k a . k e,2
কাছ,k a cʰ,2
ভক্ত,bʰ ɔ k . t̪ o,2
ভালোবাসা,bʰ a . l o . b a . ʃ a,2
জানেন,ɟ a . n e n,2
রাখেন,r a . kʰ e n,2
নিয়েই,n i . ʲ e i̯,2
ভেবেই,bʰ e . b e i̯,2
ফেললাম,pʰ e l . l a m,2
আকাশে,a . k a . ʃ e,2
পরিবেশ,p o . r i . b e ʃ,2
আশ্বিন,a ʃ . ʃ i n,2
শুভ্রতা,ʃ u b . bʰ r o . t̪ a,2
রাখে,r a . kʰ e,2
চারপাশের,c a r . p a . ʃ e r,2
মেঘে,m e . gʰ e,2
কাশফুলের,k a ʃ . pʰ u . l e r,2
ভালোবাসার,bʰ a . l o . b a . ʃ a r,2
চারপাশ,c a r . p a ʃ,2
কঠোর,k ɔ . tʰ o r,2
একগাদা,æ k . g a . d̪ a,2
ঔষধ,o u̯ . ʃ ɔ d̪ʰ,2
আমারও,a . m a r . o,2
আসি,a . ʃ i,2
বৃষ্টির,b r i ʃ . t i r,2
ডাল,d a l,2
দিয়েছি,d̪ i . ʲ e . cʰ i,2
আছাড়,a . cʰ a ɽ,2
মেজাজ,m e . ɟ a ɟ,2
লাগল,l a g . l o,2
চোর,c o r,2
চোরের,c o . r e r,2
বংশধর,b ɔ ŋ . ʃ o . d̪ʰ ɔ r,2
বাজেট,b a . ɟ e t,2
বিনা,b i . n a,2
বাক্য,b a k . k o,2
অনুদান,o . n u . d̪ a n,2
চললে,c o l . l e,2
কখনোই,k ɔ . kʰ o . n o i̯,2
বাম,b a m,2
টা,t a,2
পেয়েছি,p e . ʲ e . cʰ i,2
রাগে,r a . g e,2
ফুসতে,pʰ u ʃ . t̪ e,2
অন্যের,o n . n e r,2
বুদ্ধি,b u d̪ . d̪ʰ i,2
নিষেধ,n i . ʃ e d̪ʰ,2
কাউকে,k a u̯ . k e,2
তাহলেই,t̪ a . h o . l e i̯,2
চিৎকার,c i t̪ . k a r,2
মাকে,m a . k e,2
হতেই,h o . t̪ e i̯,2
রসিয়ে,r o . ʃ i . ʲ e,2
গেছি,g e . cʰ i,2
মহাখুশি,m ɔ . h a . kʰ u . ʃ i,2
হতবাক,h ɔ . t̪ o . b a k,2
দেই,d̪ e i̯,2
পায়ে,p a . ʲ e,2
তেল,t̪ e l,2
মাসে,m a . ʃ e,2
দেখিনি,d̪ e . kʰ i . n i,2
বাতি,b a . t̪ i,2
সপ্তাহে,ʃ ɔ p . t̪ a . h e,2
জমিদার,ɟ o . m i . d̪ a r,2
এসেছিলাম,e . ʃ e . cʰ i . l a m,2
এরকম,e . r ɔ . k o m,2
মজা,m ɔ . ɟ a,2
সহকারে,ʃ ɔ . h o . k a . r e,2
আনন্দের,a . n o n . d̪ e r,2
জ্ঞানের,g æ̃ . n e r,2
অন্বেষণ,ɔ n . n e . ʃ ɔ n,2
আমায়,a . m a ʲ,2
পথ,p ɔ t̪ʰ,2
কয়েকজন,k ɔ ʲ . e k . ɟ ɔ n,2
উপদেশ,u . p o . d̪ e ʃ,2
বসুন,b o . ʃ u n,2
এখানকার,e . kʰ a n . k a r,2
অর্থনৈতিক,ɔ r . t̪ʰ o . n o i̯ . t̪ i k,2
বুক,b u k,2
বেধে,b e . d̪ʰ e,2
প্রশাসন,p r o . ʃ a . ʃ o n,2
সরকারি,ʃ ɔ r . k a . r i,2
এমপি,e m . p i,2
ধাপে,d̪ʰ a . p e,2
পলি,p ɔ . l i,2
মাটির,m a . t i r,2
বন্যায়,b o n . n a ʲ,2
লাভ,l a bʰ,2
বাঁচাতে,b ã . c a . t̪ e,2
সরকার,ʃ ɔ r . k a r,2
ব্যবসা,b æ b . ʃ a,2
এলাকার,e . l a . k a r,2
চাষিরা,c a . ʃ i . r a,2
ঘেরে,gʰ e . r e,2
চাষ,c a ʃ,2
এমনিতেই,e m . n i . t̪ e i̯,2
সংসার,ʃ ɔ ŋ . ʃ a r,2
লোন,l o n,2
ভুগতে,bʰ u g . t̪ e,2
কিছুদিন,k i . cʰ u . d̪ i n,2
আসল,a . ʃ o l,2
মূর্তিমান,m u r . t̪ i . m a n,2
বিভিষিকা,b i . bʰ i . ʃ i . k a,2
গুণ,g u n,2
উপরে,u . p o . r e,2
ঢুকে,dʰ u . k e,2
কেউই,k e u̯ . i,2
বাতাস,b a . t̪ a ʃ,2
বইছে,b o i̯ . cʰ e,2
ইস্,i s,2
বলতেই,b o l . t̪ e i̯,2
আয়,a ʲ,2
ছাতা,cʰ a . t̪ a,2
রিকশা,r i k . ʃ a,2
আট,a t,2
উনিশ,u . n i ʃ,2
পোস্ট,p o s t,2
মানুষগুলোর,m a . n u ʃ . g u . l o r,2
অবস্থান,ɔ . b o s . t̪ʰ a n,2
বলেছেন,b o . l e . cʰ e n,2
জানিয়েছেন,ɟ a . n i . ʲ e . cʰ e n,2
ঠিকই,tʰ i . k i,2
জনগণের,ɟ ɔ . n o . g ɔ . n e r,2
ক্ষণস্থায়ী,kʰ ɔ . n o s . t̪ʰ a . ʲ i,2
তাসের,t̪ a . ʃ e r,2
নির্বাচনের,n i r . b a . c o . n e r,2
খুঁজে,kʰ ũ . ɟ e,2
টেকসই,t e k . ʃ o i̯,2
প্রহসন,p r o . h o . ʃ ɔ n,2
দেয়ালে,d̪ e . ʲ a . l e,2
পিঠ,p i tʰ,2
ঠেকে,tʰ æ . k e,2
বাংলাদেশ,b a ŋ . l a . d̪ e ʃ,2
জীবিকা,ɟ i . b i . k a,2
উপার্জন,u . p a r ɟ . ɟ o n,2
জানিয়েছে,ɟ a . n i . ʲ e . cʰ e,2
প্রাণের,p r a . n e r,2
কিনেছেন,k i . n e . cʰ e n,2
শোনা,ʃ o . n a,2
জল,ɟ ɔ l,2
মুছে,m u . cʰ e,2
যেটা,ɟ e . t a,2
দিনই,d̪ i n . i,2
চালান,c a . l a n,2
লোকের,l o . k e r,2
জরিমানা,ɟ o . r i . m a . n a,2
পুলিশ,p u . l i ʃ,2
লোক,l o k,2
কদর,k ɔ . d̪ o r,2
চাচার,c a . c a r,2
পেয়েছেন,p e . ʲ e . cʰ e n,2
স্ক্রিনে,s k r i . n e,2
চমকে,c ɔ . m o k . e,2
উঠলাম,u tʰ . l a m,2
রিসিভ,r i . s i bʰ,2
দিয়েই,d̪ i . ʲ e i̯,2
অবশ্যই,ɔ . b o ʃ . ʃ o i̯,2
ক্যান্টিনের,k æ n . t i . n e r,2
জানাতেই,ɟ a . n a . t̪ e i̯,2
চেপে,c e . p e,2
খাচ্ছে,kʰ a c . cʰ e,2
দেখেই,d̪ e . kʰ e i̯,2
দুজনেই,d̪ u . ɟ ɔ . n e i̯,2
সম্পর্ক,ʃ ɔ m . p ɔ r . k o,2
শোনার,ʃ o . n a r,2
বাড়িয়ে,b a . ɽ i . ʲ e,2
শরীরের,ʃ o . r i . r e r,2
প্রায়ই,p r a . ʲ i,2
বর্ণনা,b ɔ r . n o . n a,2
দুজন,d̪ u . ɟ o n,2
বনের,b o . n e r,2
বন্ধুর,b o n . d̪ʰ u r,2
গাইতে,g a i̯ . t̪ e,2
মাস্টার,m a s . t a r,2
যোগদান,ɟ o g . d̪ a n,2
স্নেহ,s n e . h o,2
রংপুরে,r ɔ ŋ . p u . r e,2
শাক,ʃ a k,2
আসেন,a . ʃ e n,2
তামাক,t̪ a . m a k,2
ক্লাস,k l a s,2
ডিন,d i n,2
স্যারের,s a . r e r,2
অসুস্থ,ɔ . ʃ u s . t̪ʰ o,2
ধাতস্থ,d̪ʰ a . t̪ o s . t̪ʰ o,2
কারণটা,k a . r o n . t a,2
ব্যাখ্যা,b æ k . kʰ a,2
সেজন্য,ʃ e . ɟ o n . n o,2
লাগবে,l a g . b e,2
পারছেন,p a r . cʰ e n,2
চিবোতে,c i . b o . t̪ e,2
তথা,t̪ ɔ . t̪ʰ a,2
আসবেন,a ʃ . b e n,2
নেতাদের,n e . t̪ a . d̪ e r,2
আমিও,a . m i . o,2
নির্দিষ্ট,n i r . d̪ i ʃ . t o,2
সময়ে,ʃ o . m ɔ . ʲ e,2
এ্যাসাইনমেন্ট,æ . s a i̯ n . m e n t,2
পরবর্তীতে,p ɔ . r o . b o r . t̪ i . t̪ e,2
দুশ্চিন্তায়,d̪ u ʃ . c i n . t̪ a ʲ,2
আশ্বস্ত,a ʃ . ʃ ɔ s . t̪ o,2
হাতের,h a . t̪ e r,2
দেখলে,d̪ e kʰ . l e,2
গেছেন,g æ . cʰ e n,2
বিশাল,b i . ʃ a l,2
জলরাশি,ɟ ɔ . l o . r a . ʃ i,2
বয়ে,b o . ʲ e,2
চলা,c ɔ . l a,2
মোটর,m o . t o r,2
রেল,r e l,2
ব্যাপার,b æ . p a r,2
ড্রাইভিং,d r a i̯ . bʰ i ŋ,2
পার্ক,p a r k,2
নদীর,n o . d̪ i r,2
ভিতরটা,bʰ i . t̪ o r . t a,2
প্রমাণ,p r o . m a n,2
ধীরে,d̪ʰ i . r e,2
ডাকাডাকিতে,d a . k a . d a . k i . t̪ e,2
পাড়,p a ɽ,2
সিঁদূর,ʃ ĩ . d̪ u r,2
কপালে,k ɔ . p a . l e,2
ছড়ানো,cʰ ɔ . ɽ a . n o,2
দেবী,d̪ e . b i,2
অফিসে,ɔ . pʰ i . s e,2
ভোরে,bʰ o . r e,2
দাদাবাবু,d̪ a . d̪ a . b a . b u,2
এছাড়া,æ . cʰ a . ɽ a,2
উদ্দেশ্যে,u d̪ . d̪ e ʃ . ʃ e,2
শিক্ষিত,ʃ i k . kʰ i . t̪ o,2
মানা,m a . n a,2
সময়ও,ʃ ɔ . m ɔ ʲ . o,2
নিয়ম,n i . ʲ o m,2
ঘড়ির,gʰ o . ɽ i r,2
এলিয়ে,e . l i . ʲ e,2
স্ক্রলিং,s k r ɔ . l i ŋ,2
অন,ɔ n,2
কয়েকটা,k ɔ ʲ . e k . t a,2
জমা,ɟ ɔ . m a,2
ম্যাসেঞ্জার,m æ . s e n . ɟ a r,2
ওপেন,o . p e n,2
মহালয়ার,m ɔ . h a . l ɔ . a r,2
শুভেচ্ছাবার্তা,ʃ u . bʰ e c . cʰ a . b a r . t̪ a,2
দিচ্ছে,d̪ i c . cʰ e,2
ফেব্রুয়ারি,pʰ e b . b r u . ʷ a . r i,2
হতাশ,h ɔ . t̪ a ʃ,2
ভাই,bʰ a i̯,2
জুড়ে,ɟ u . ɽ e,2
আপডেট,a p . d e t,2
টন,t ɔ n,2
ট্রেন্ডে,t r e n . d e,2
ট্রেন্ড,t r e n d,2
ভাইরাল,bʰ a i̯ . r a l,2
এজন্য,e . ɟ o n . n o,2
ফল,pʰ ɔ l,2
নই,n o i̯,2
উপাধি,u . p a . d̪ʰ i,2
বিশেষ,b i . ʃ e ʃ,2
একান্তই,æ . k a n . t̪ o i̯,2
ছি,cʰ i,2
খেলার,kʰ æ . l a r,2
অনুমতি,o . n u . m o . t̪ i,2
চায়নি,c a ʲ . n i,2
যোগ্যতা,ɟ o g . g o . t̪ a,2
ছিনিয়ে,cʰ i . n i . ʲ e,2
বসেই,b o . ʃ e i̯,2
দিনশেষে,d̪ i n . ʃ e . ʃ e,2
স্কুলে,s k u . l e,2
শুনেছি,ʃ u . n e . cʰ i,2
ছোটো,cʰ o . t o,2
অঞ্চল,ɔ n . c ɔ l,2
পদে,p ɔ . d̪ e,2
মুহূর্তে,m u . h u r . t̪ e,2
বুকে,b u . k e,2
ভয়াবহ,bʰ ɔ . ʲ a . b ɔ . h o,2
পাড়ায়,p a . ɽ a ʲ,2
সংখ্যা,ʃ o ŋ . kʰ a,2
হয়েই,h o . ʲ e . i,2
কার্যকর,k a r . ɟ o . k ɔ r,2
সাহসীকতার,ʃ a . h o . ʃ i . k ɔ . t̪ a r,2
দিয়েছিল,d̪ i . ʲ e . cʰ i . l o,2
থাকলেও,t̪ʰ a k . l e o̯,2
স্কুল,s k u l,2
হাল,h a l,2
নামক,n a . m o k,2
সমুদ্র,ʃ o . m u d̪ . d̪ r o,2
কেড়ে,k e . ɽ e,2
নিয়েছে,n i . ʲ e . cʰ e,2
রোজ,r o ɟ,2
পেত,p e . t̪ o,2
পরিবারকে,p o . r i . b a r . k e,2
চেয়েছিলাম,c e . ʲ e . cʰ i . l a m,2
ভাষায়,bʰ a . ʃ a ʲ,2
দাঁড়,d̪ ã ɽ,2
ফোঁশকা,pʰ õ ʃ . k a,2
কিশোর,k i . ʃ o r,2
লাইফ,l a i̯ pʰ,2
সাপোর্ট,s a . p o r t,2
প্রয়োজন,p r o ʲ . o . ɟ o n,2
বিপদের,b i . p ɔ . d̪ e r,2
বাঁচানোর,b ã . c a . n o r,2
কাজে,k a . ɟ e,2
ছেলেবেলায়,cʰ e . l e . b æ . l a ʲ,2
শুকনো,ʃ u k . n o,2
হালকা,h a l . k a,2
অল্প,ɔ l . p o,2
ক্রসের,k r ɔ . s e r,2
থাকত,t̪ʰ a k . t̪ o,2
ভারী,bʰ a . r i,2
কর্কশিট,k ɔ r . k o . ʃ i t,2
নৌকার,n o u̯ . k a r,2
রাখত,r a kʰ . t̪ o,2
পাটাতন,p a . t a . t̪ ɔ n,2
মহাজনের,m ɔ . h a . ɟ ɔ . n e r,2
ট্রলারের,t r ɔ . l a . r e r,2
মোট,m o t,2
ট্রলারে,t r ɔ . l a . r e,2
যাত্রা,ɟ a t̪ . t̪ r a,2
কাছাকাছি,k a . cʰ a . k a . cʰ i,2
পাড়ের,p a . ɽ e r,2
জেলেরা,ɟ e . l e . r a,2
শ্রদ্ধা,s r o d̪ . d̪ʰ a,2
আগ,a g,2
কিছুদিনের,k i . cʰ u . d̪ i . n e r,2
ঈদ,i d̪,2
শিক্ষা,ʃ i k . kʰ a,2
শেখা,ʃ e . kʰ a,2
কিছুতেই,k i . cʰ u . t̪ e i̯,2
ছেলের,cʰ e . l e r,2
শুনেছিল,ʃ u . n e . cʰ i . l o,2
ভেবেছিল,bʰ e . b e . cʰ i . l o,2
যুগের,ɟ u . g e r,2
উপার্জনের,u . p a r . ɟ o . n e r,2
খবরদারি,kʰ ɔ . b o r . d̪ a . r i,2
রুমে,r u . m e,2
একবারও,æ k . b a r . o,2
ওরা,o . r a,2
বাগান,b a . g a n,2
পুকুর,p u . k u r,2
জমি,ɟ o . m i,2
দেখাতে,d̪ æ . kʰ a . t̪ e,2
বৌমাকে,b o u̯ . m a . k e,2
বাগানে,b a . g a . n e,2
বুঝতে,b u ɟʰ . t̪ e,2
গহনাগুলো,g ɔ . h o . n a . g u . l o,2
অথবা,ɔ . t̪ʰ o . b a,2
জনপ্রিয়,ɟ ɔ . n o p . p r i . ʲ o,2
বয়সেই,b ɔ ʲ . o . ʃ e i̯,2
বুকটা,b u k . t a,2
ছ্যাৎ,cʰ æ t̪,2
নামকরা,n a m . k ɔ . r a,2
অঙ্ক,ɔ ŋ . k o,2
বিপর্যয়,b i . p ɔ r . ɟ ɔ ʲ,2
সিদ্ধান্ত,s i d̪ . d̪ʰ a n . t̪ o,2
খামারে,kʰ a . m a . r e,2
করায়,k ɔ . r a ʲ,2
তাকাতেই,t̪ a . k a . t̪ e i̯,2
মুখের,m u . kʰ e r,2
ঝুকে,ɟʰ u . k e,2
রুমের,r u . m e r,2
গুলিয়ে,g u . l i . ʲ e,2
পারলাম,p a r . l a m,2
শক্তি,ʃ o k . t̪ i,2
ঘাবড়ে,gʰ a b . ɽ e,2
বিছানা,b i . cʰ a . n a,2
দৌড়ে,d̪ o u̯ . ɽ e,2
উঠোনে,u . tʰ o . n e,2
অনাহারী,ɔ . n a . h a . r i,2
রেখেছে,r e . kʰ e . cʰ e,2
ঘুমের,gʰ u . m e r,2
গোঁ,g õ,2
জড়িয়ে,ɟ o . ɽ i . ʲ e,2
আদায়,a . d̪ a ʲ,2
মুক্তির,m u k . t̪ i r,2
মজুদ,m o . ɟ u d̪,2
আগের,a . g e r,2
প্রকৃত,p r o . k r i . t̪ o,2
সুখ,ʃ u kʰ,2
ধানের,d̪ʰ a . n e r,2
জমিতে,ɟ o . m i . t̪ e,2
মাঠের,m a . tʰ e r,2
অজুহাত,o . ɟ u . h a t̪,2
গেলো,g æ . l o,2
শ্বশুর,ʃ o . ʃ u r,2
ছেলেরা,cʰ e . l e . r a,2
ফাইনাল,pʰ a i̯ . n a l,2
স্বামীকে,ʃ a . m i . k e,2
পরীক্ষার,p o . r i k . kʰ a r,2
প্রস্তুতি,p r o s . t̪ u . t̪ i,2
পারবেন,p a r . b e n,2
বলেছে,b o . l e . cʰ e,2
ইন্টারভিউ,i n . t a r . bʰ i u̯,2
বলেছি,b o . l e . cʰ i,2
যেহেতু,ɟ e . h e . t̪ u,2
এইবার,e i̯ . b a r,2
লিখিত,l i . kʰ i . t̪ o,2
রান,r a n,2
তোলার,t̪ o . l a r,2
অন্যদের,o n . n o . d̪ e r,2
খেলতে,kʰ e l . t̪ e,2
ইনিংস,i . n i ŋ s,2
দিনের,d̪ i . n e r,2
বিশেষণে,b i . ʃ e . ʃ ɔ . n e,2
বিশেষায়িত,b i . ʃ e . ʃ a ʲ . i . t̪ o,2
ওভার,o . bʰ a r,2
উত্তেজনা,u t̪ . t̪ e . ɟ o . n a,2
দুর্দান্ত,d̪ u r . d̪ a n . t̪ o,2
পয়েন্ট,p ɔ ʲ . e n t,2
ধুয়ে,d̪ʰ u . ʲ e,2
পুত্র,p u t̪ . r o,2
কাটিয়ে,k a . t i . ʲ e,2
শুনতাম,ʃ u n . t̪ a m,2
অবলোকন,ɔ . b o . l o . k o n,2
অভিজ্ঞতা,o . bʰ i g . g ɔ̃ . t̪ a,2
ইনিংসটাই,i . n i ŋ s . t a i̯,2
খেললেন,kʰ e l . l e n,2
পরপর,p ɔ r . p ɔ r,2
ম্যাচের,m æ . c e r,2
কিক,k i k,2
কারণে,k a . r o . n e,2
ম্যাচে,m æ . c e,2
দাম,d̪ a m,2
সোনার,ʃ o . n a r,2
ব্যবহৃত,b æ . b o . h r i . t̪ o,2
জিনিস,ɟ i . n i ʃ,2
তারকা,t̪ a . r o . k a,2
কালের,k a . l e r,2
খবরের,kʰ ɔ . b o . r e r,2
ফোনের,pʰ o . n e r,2
দোস্ত,d̪ o s . t̪ o,2
রাতের,r a . t̪ e r,2
শিবুকে,ʃ i . b u . k e,2
মন্দ,m ɔ n . d̪ o,2
চাদরে,c a . d̪ o . r e,2
কাঁপা,k ã . p a,2
ভাইয়ের,bʰ a i̯ . e r,2
যায়নি,ɟ a ʲ . n i,2
সন্তানেরা,ʃ ɔ n . t̪ a . n e . r a,2
আমারই,a . m a r . i,2
ভালোই,bʰ a . l o i̯,2
দাদা,d̪ a . d̪ a,2
শুনছি,ʃ u n . cʰ i,2
উনি,u . n i,2
রুমটা,r u m . t a,2
ঘরটা,gʰ ɔ r . t a,2
পেতাম,p e . t̪ a m,2
স্কোর,s k o r,2
শো,ʃ o,2
একদিনে,æ k . d̪ i . n e,2
সাধনা,ʃ a . d̪ʰ o . n a,2
ক্ষুদ্র,kʰ u d̪ . d̪ r o,2
সম্পদ,ʃ ɔ m . p ɔ d̪,2
জানাও,ɟ a . n a o̯,2
এটাই,e . t a . i,2
ঘ্রাণ,gʰ r a n,2
এটার,e . t a r,2
থাকো,t̪ʰ a . k o,2
কাজটা,k a ɟ . t a,2
সুস্থ,ʃ u s . t̪ʰ o,2
চান,c a n,2
সকালের,ʃ ɔ . k a . l e r,2
প্রাতরাশ,p r a . t̪ o . r a ʃ,2
শক্তিবর্ধনীয়,ʃ o k . t̪ i . b ɔ r . d̪ʰ o . n i . ʲ o,2
ঠেলে,tʰ e . l e,2
বকে,b ɔ . k e,2
ধাক্কা,d̪ʰ a k . k a,2
অনুষ্ঠানটি,o . n u ʃ . tʰ a n . t i,2
উপস্থাপনা,u . p o s . t̪ʰ a . p o . n a,2
ব্যাপারে,b æ . p a . r e,2
হবেন,h ɔ . b e n,2
পড়ুন,p o . ɽ u n,2
নিমন্ত্রণ,n i . m ɔ n . t̪ r o n,2
আন্তরিকতা,a n . t̪ o . r i . k ɔ . t̪ a,2
অতিথিকে,o . t̪ i . t̪ʰ i . k e,2
দুর্নাম,d̪ u r . n a m,2
আন্তরিক,a n . t̪ o . r i k,2
ভণ্ডামি,bʰ ɔ n . d a . m i,2
ডাক্তার,d a k . t̪ a r,2
তাড়াতাড়ি,t̪ a . ɽ a . t̪ a . ɽ i,2
নির্দয়,n i r . d̪ ɔ ʲ,2
