tri_gram,freq,example
োনও,1,['বোনও']
েনও,2,"['নড়েনও', 'বলবেনও']"
ানপ,1,['জ্ঞানপাপী']
ৈনন্দ,1,['দৈনন্দিন']
সনে,2,"['প্রশাসনের', 'প্রশাসনেরই']"
অনট,1,['অনটনের']
টনে,1,['অনটনের']
এনজ,3,"['এনজিওগুলো', 'এনজিও', 'এনজিওগুলোও']"
অনি,3,"['অনিশ্চিত', 'অনিন্দ্য', 'অনিশ্চয়তায়']"
িনট,1,['সেলাইমেশিনটা']
যন্ত্রণ,1,['যন্ত্রণা']
সনস,1,['প্রশাসনসহ']
অন্ধক,1,['অন্ধকার']
িনগ,1,['দিনগুলো']
ানী,4,"['স্থানীয়', 'রানী', 'জ্ঞানীদের']"
সনক,1,['প্রশাসনকে']
ুনজ,1,['কুনজর']
ানন,2,"['মাননীয়', 'জীবনানন্দ', 'পাননি']"
িনব,1,['তিনবার']
শনি,1,['শনিবার']
ননী,1,['মাননীয়']
জনস,1,['জনসভায়']
ানব,4,"['বয়ানবাজি', 'মানবে', 'যানবাহনও']"
হনও,1,['যানবাহনও']
ান্সে,2,"['পারফরম্যান্সের', 'ক্যান্সেল']"
েন্টদ,1,['স্টুডেন্টদের']
রনও,1,['ধরনও']
বনম,1,['অনুধাবনমূলক']
ুনশ,1,['সুনশান']
রন্তর,1,['নিরন্তর']
বনক,2,"['আজীবনকাল', 'জীবনকে']"
মনপ,1,['মনপুরা']
আনা,1,['আনা']
ান্ত্রি,1,['যান্ত্রিক']
েন্দ্রি,1,['স্বার্থকেন্দ্রিক']
ান্তে,5,"['প্রান্তে', 'উদ্ভ্রান্তের', 'অজান্তেই']"
বনা,4,"['সান্ত্বনা', 'ভাবনা', 'প্রস্তাবনা']"
ানন্দ,1,['জীবনানন্দ']
ইনস্ট,1,['ইনস্টাগ্রামে']
মনই,1,['এমনই']
িন্দা,1,['বাসিন্দা']
তনা,1,['খ্যাতনামা']
সনই,1,['প্রশাসনই']
মনক,1,['এমনকি']
ুনর্ব,1,['পুনর্বাসন']
ানস,1,['মানসিকতায়']
অন্ধে,1,['অন্ধের']
কনা,1,['শুকনা']
তনে,3,"['বেতনের', 'পরিবর্তনের', 'পাটাতনের']"
িনও,2,"['একদিনও', 'সেদিনও']"
মনা,1,['কামনায়']
ধন্যব,1,['ধন্যবাদ']
চনা,3,"['বিবেচনা', 'বঞ্চনা', 'রচনা']"
আনু,2,"['আনুপূর্ব্য', 'আনুষ্ঠানিকতা']"
আনি,1,['আনিয়েছি']
গনি,1,['মেহগনি']
জনক,2,"['হতাশাজনক', 'রহস্যজনক']"
বনপ্র,1,['জীবনপ্রান্তে']
েন্ডা,2,"['পেন্ডামিকে', 'পেন্ডামিকের']"
ইনে,2,"['লাইনে', 'আইনের']"
গন্ধে,1,['গন্ধে']
য়না,2,"['জায়নামাজে', 'আয়নায়']"
রনো,1,['পুরনো']
ানক্ষ,1,['ধানক্ষেতের']
িনর,1,['দিনরাত']
অনল,1,['অনলাইন']
ীনে,3,"['চীনেই', 'চীনের', 'চীনে']"
োনি,1,['ধোনি']
ূনত,1,['ন্যূনতম']
উনা,1,['উনার']
ান্ডে,2,"['ব্র্যান্ডের', 'ব্রান্ডের']"
বনও,1,['জীবনও']
ইনফ,1,['ইনফরমেশন']
িনদ,1,['তিনদিন']
ুনস,1,['শুনসান']
পনজ,1,['আপনজন']
অন্যভ,1,['অন্যভাবে']
মনও,1,['মনও']
তনট,1,['বেতনটা']
আনে,1,['আনে']
বনট,1,['জীবনটা']
িন্তি,1,['চিন্তিত']
সন্ন্যা,1,['সন্ন্যাসে']
সন্ধা,1,['সন্ধান']
কন্ট্রো,1,['কন্ট্রোল']
ানদ,1,['বিদ্বানদের']
েনো,1,['কেনো']
ুনু,1,['শুনুন']
রনে,1,"['নিয়ন্ত্রনে', 'কারনেই', 'নিউট্রনের']"
িনী,1,['হ্লাদিনী']
রন্তন,1,['চিরন্তন']
মনো,4,"['মনোভাবের', 'মনোবাঞ্ছা', 'মনোভাব']"
েন্টে,1,['ভ্যারিয়েন্টের']
ইন্দ্রে,1,['ইন্দ্রের']
ধনস,1,['প্রসাধনসামগ্রী']
অন্যা,1,['অন্যায়ভাবে']
ইনশ,1,['আইনশাস্ত্রের']
জনত,1,['জনতার']
মন্বয়,1,['সমন্বয়ে']
পন্ডি,1,['পন্ডিত']
ানচ্য,1,['স্থানচ্যুতি']
অন্তর,2,"['অন্তর্দ্বারেই', 'অন্তরের', 'অন্তর্হিত']"
অন্তত,1,['অন্ততঃ']
য়ন্ত্রন,1,['নিয়ন্ত্রনে']
মন্থর,1,['মন্থর']
অন্তঃ,2,"['অন্তঃপুরে', 'অন্তঃস্থলকে']"
ওনে,1,['ওনেক']
ান্ড্রে,1,['হান্ড্রেড']
লন্ঠন,1,['লন্ঠন']
অন্ত্যজ,1,['অন্ত্যজ']
ান্থ্রা,1,['অ্যান্থ্রাক্স']
অন্তর্দ্ব,1,['অন্তর্দ্বারেই']
অন্তর্হ,1,['অন্তর্হিত']
ানর,1,['বানরের']
লনে,1,['আস্ফালনে']
হনক,1,['যাত্রীবহনকারী']
জনি,1,['জনিত']
দনপ,1,['আবেদনপত্রটি']
ঘনর,1,['ঘনরাম']
পনই,1,['নৈশজাপনই']
ুনঃ,5,"['পুনঃপ্রবেশ', 'পুনঃপুন', 'পুনঃপরীক্ষা']"
ঠনে,1,['সংগঠনের']
ঘনত্ব,1,['ঘনত্ব']
মন্দা,1,['মন্দার']
ুনর,1,"['পুনর্বাসন', 'পুনরায়']"
জন্মা,1,['অজন্মা']
আনক,1,['আনকোরা']
ননক,1,['ননকোর']
ীন্দ্রন,1,['রবীন্দ্রনাথ']
ঊনপ,1,['ঊনপঞ্চাশে']
আন্দো,1,['আন্দোলন']
জন্মি,1,['জন্মিয়েছে']
য়ন্ত্রণ,1,['নিয়ন্ত্রণের']
জন্মগ,1,['জন্মগৃহবাসের']
আপন,6,"['আপনি', 'আপনার', 'আপনারাই']"
উপর,3,"['উপর', 'উপরে', 'উপরেই']"
রপর,3,"['পরপর', 'এরপর', 'তারপর']"
াপড়,3,"['লেখাপড়া', 'লেখাপড়ার', 'কাপড়']"
ওপা,1,['ওপাশ']
াপদ,1,['নিরাপদ']
ুপ্রে,2,"['অনুপ্রেরণা', 'অনুপ্রেরণাদায়ী']"
অপে,1,['অপেক্ষা']
িপর্য,2,"['বিপর্যয়', 'বিপর্যস্ত']"
াপি,2,"['চাপিয়ে', 'তেলাপিয়া']"
উপা,6,"['উপায়', 'উপাদেয়', 'উপাধি']"
িপদ,2,"['বিপদ', 'বিপদের']"
নপদ,1,['জনপদ']
রপা,3,"['চারপাশে', 'বজ্রপাতের', 'চারপাশ']"
উপস্থ,3,"['উপস্থাপনা', 'উপস্থিত', 'উপস্থিতি']"
িপো,2,"['রিপোর্ট', 'রিপোর্টাররা']"
েপা,3,"['আশেপাশের', 'আশেপাশে', 'পেপারের']"
অপর,3,"['অপরিহার্য', 'অপরাহ্ণের', 'অপরূপ']"
সপ্তা,1,['সপ্তাহে']
উপদ,2,"['উপদেশ', 'উপদেশটা']"
মপি,3,"['এমপি', 'এমপির', 'এমপিদের']"
াপে,4,"['বিশ্বকাপের', 'বাপের', 'চাপের']"
েপে,1,['চেপে']
ংপু,2,"['রংপুরের', 'রংপুরে']"
াপা,5,"['ব্যাপারে', 'পাশাপাশি', 'ব্যাপার']"
কপা,2,"['কপালে', 'একপাশে']"
ওপে,2,"['ওপেনার', 'ওপেন']"
আপড,1,['আপডেট']
াপো,1,['সাপোর্ট']
নপ্রি,1,['জনপ্রিয়']
ঁপা,2,"['ফাঁপা', 'কাঁপা']"
াপন,4,"['উপস্থাপনা', 'সংস্থাপন', 'নৈশজাপনই']"
ৎপর,1,['তৎপর']
উপন্য,1,['উপন্যাস']
াপু,3,"['সাপুড়ের', 'মাপুন', 'মহাপুরুষেরা']"
াপট,2,"['ঝাপটায়', 'ঘাপটি']"
উপশ,1,['উপশিরা']
শপর,1,['বংশপরম্পরায়']
িপর্ব,1,['বৃষ্টিপর্বের']
ণপ্রি,1,['প্রাণপ্রিয়']
টপা,2,"['বিশ্ববাটপার', 'বাটপারে']"
াপ্রক,1,['নানাপ্রকার']
নপা,1,['জ্ঞানপাপী']
াপী,1,['জ্ঞানপাপী']
ুপু,1,['দুপুর']
ূপই,1,['কূপই']
উপল,3,"['উপলব্ধি', 'উপলক্ষে', 'উপলক্ষ']"
েপি,1,['খেপিয়ে']
অপূ,1,['অপূর্ব']
ুপচ,1,['চুপচাপ']
নপু,1,['মনপুরা']
ৃপক্ষ,1,['পিতৃপক্ষের']
ীপক্ষ,1,['দেবীপক্ষের']
াপম,1,['মাপমতো']
ুপে,1,['বিদ্রুপের']
ূপে,2,"['দেবীরূপের', 'মাতৃরূপে']"
ুপি,1,['স্টুপিডিটি']
উপক,5,"['উপকূলবাসীর', 'উপকূলীয়', 'উপকূলবাসী']"
রপে,1,['নিরপেক্ষভাবে']
অপচ,1,['অপচয়']
দপত্র,1,['সংবাদপত্রে']
ুপা,2,"['সুপারহিরো', 'সুপারি']"
অপা,2,"['অপারগ', 'অপাঙ্ক্তেয়']"
ূপব,1,['রূপবতী']
উপজ,1,['উপজেলা']
োপন,1,['রোপন']
উপহ,1,['উপহার']
নপ্রা,1,['জীবনপ্রান্তে']
সপা,1,"['এক্সপার্টের', 'হাসপাতাল']"
শপথ,1,['শপথ']
ৎপা,1,['উৎপাদন']
োপা,1,['শিরোপা']
াপক,1,['প্রাপক']
গপত্র,1,['ব্যাগপত্র']
াপত্য,1,['স্থাপত্যগুলো']
ূপা,2,"['রূপা', 'রূপান্তর']"
ূপশ,1,['স্বরূপশক্তি']
োপী,1,['মধ্যপদলোপী']
তপক্ষ,1,['প্রকৃতপক্ষে']
আপ্যা,1,['আপ্যায়িত']
িপক্ষ,1,['বিপক্ষে']
িপস,1,['টিপসই']
লপক্ব,1,['অকালপক্বতা']
িপ্রা,1,['বৃদ্ধিপ্রাপ্ত']
আপা,1,['আপাতদৃষ্টিতে']
ীপে,1,['দীপের']
ঃপু,2,"['অন্তঃপুরে', 'পুনঃপুন']"
ৎপল,1,['উৎপল']
িপ্সা,1,['লিপ্সা']
রপু,1,['ভরপুর']
াপ্পা,1,['ধাপ্পা']
নপত্র,1,['আবেদনপত্রটি']
ঃপর,2,"['পুনঃপরীক্ষা', 'অতঃপর']"
ঃপ্রক,1,['পুনঃপ্রকাশ']
ঃপ্রব,1,['পুনঃপ্রবেশ']
ঃপ্রত,1,['পুনঃপ্রতিষ্ঠা']
নপঞ্চ,1,['ঊনপঞ্চাশে']
তপো,1,['তপোবন']
অপক্ষ,1,['অপক্ষয়ের']
অপি,1,['অপিনিহিতি']
কপ্রক,1,['একপ্রকার']
ুপূ,1,['আনুপূর্ব্য']
অফি,3,"['অফিসে', 'অফিসের', 'অফিস']"
শফু,1,['কাশফুলের']
িফি,3,"['টিফিন', 'সার্টিফিকেট', 'নোটিফিকেশন']"
াফল্য,1,['সাফল্য']
ুফু,1,['ফুফু']
লফি,1,['সেলফি']
কফি,1,['কফি']
োফা,1,['প্রোফাইল']
সফল,1,['সফল']
াফা,1,['মুনাফার']
রফর,2,"['পারফরম্যান্স', 'পারফরম্যান্সের']"
নফর,1,['ইনফরমেশন']
উফ্,1,['উফ্']
াফি,4,"['মাশরাফিদের', 'রাফি', 'গাফিলতির']"
লফল,1,['বেলফল']
াফল,1,"['সাফল্য', 'ফলাফল']"
হবে,2,"['হবে', 'হবেন']"
আবা,3,"['আবারও', 'আবাসিক', 'আবার']"
াবা,12,"['বাবাকে', 'বাবা', 'খাবার']"
এবং,1,['এবং']
াবে,37,"['স্বভাবের', 'লাগাবে', 'খাবেন']"
কবে,5,"['থাকবেন', 'ডাকবে', 'থাকবে']"
এবা,1,['এবার']
াবত,3,"['যাবতীয়', 'ভাবতে', 'ভাবতেই']"
রবে,6,"['পুনঃপ্রবেশ', 'করবেন', 'সগৌরবে']"
সবা,3,"['সবাই', 'সবার', 'সবাইকে']"
সবস,1,['সবসময়']
শব্দে,3,"['শব্দের', 'নিঃশব্দে', 'শব্দে']"
েবে,12,"['ছেলেবেলা', 'দেবেন', 'হিশেবে']"
তবে,1,['তবে']
েবল,1,['কেবল']
অবস্থ,2,"['অবস্থা', 'অবস্থান']"
সবচ,1,['সবচেয়ে']
অবশ্য,2,"['অবশ্য', 'অবশ্যই']"
ীবন,10,"['উজ্জীবন', 'জীবনও', 'আজীবনকাল']"
াবি,15,"['ভাবিয়ে', 'স্বাভাবিক', 'খাবি']"
লবে,4,"['চলবে', 'বলবেনও', 'বলবে']"
সবই,1,['সবই']
ুবই,1,['খুবই']
সবু,2,"['ফেসবুকে', 'ফেসবুক']"
িবী,2,"['পৃথিবীর', 'পৃথিবী']"
িবে,9,"['বিবেচনা', 'পরিবেশকে', 'পরিবেশ']"
াবী,3,"['ভাবীই', 'ভাবী', 'দাবী']"
অবি,4,"['অবিরাম', 'অবিশ্বাস্য', 'অবিরামভাবে']"
রবা,3,"['শুক্রবারে', 'বরবাদ্নিষেধ', 'তরবারি']"
খবর,4,"['খবরটা', 'খবরদারি', 'খবর']"
নবে,3,"['মানবে', 'নবের', 'শুনবেন']"
জবু,1,['মজবুত']
সবে,2,"['আসবে', 'আসবেন']"
তবু,2,"['তবুও', 'তবু']"
ছবি,2,"['ছবি', 'ছবিটা']"
িবা,11,"['রবিবার', 'নীতিবাক্যে', 'পরিবারে']"
সবক,1,['সবকিছু']
সবজ,2,"['সবজিসহ', 'সবজি']"
আবি,2,"['আবির্ভাব', 'আবির্ভাবের']"
সবশ,2,"['সবশেষে', 'অভ্যাসবশত']"
অবা,1,['অবাক']
াবল,3,"['ভাবলাম', 'পাবলিশড', 'সাবলীল']"
োবা,10,"['মোবারক', 'মোবাইলে', 'ভালোবাসা']"
তবা,4,"['যতবারই', 'হতবাক', 'এতবার']"
ীবি,2,"['জীবিকার', 'জীবিকা']"
গবে,1,['লাগবে']
িবো,1,['চিবোতে']
রবর্ত,2,"['পরবর্তী', 'চক্রবর্তী', 'পরবর্তীতে']"
েবী,3,"['দেবীরূপের', 'দেবী', 'দেবীপক্ষের']"
াবু,2,"['মাবুদ', 'দাদাবাবু']"
েব্রু,2,"['ফেব্রুয়ারি', 'ফেব্রুয়ারিতে']"
াবহ,1,['ভয়াবহ']
কবা,4,"['কয়েকবার', 'একবার', 'একবারও']"
থবা,1,['অথবা']
াবড়,1,['ঘাবড়ে']
ইবা,1,['এইবার']
অবল,1,['অবলোকন']
িবু,2,"['শিবুকে', 'শিবু']"
িবর্ধ,1,['শক্তিবর্ধনীয়']
ইবে,2,"['দুইবেলা', 'গাইবে']"
অবজ্ঞ,1,['অবজ্ঞাত']
খবি,1,['দেখবি']
োবে,1,['ভালোবেসে']
েবো,1,['ভেবো']
সবট,1,['সবটুকু']
কবু,1,['কবুল']
আব্বু,2,"['আব্বু', 'আব্বুকে']"
টবৃ,1,['বটবৃক্ষ']
মবে,1,['নামবে']
অবশ,2,"['অবশ্য', 'অবশেষে', 'অবশ্যই']"
াবধ,1,['সাবধানে']
াবন,5,"['ভাবনা', 'অনুধাবনমূলক', 'প্রস্তাবনা']"
ঝবে,1,['বুঝবে']
খবে,1,['দেখবেন']
ঠবে,1,['উঠবেন']
লবু,1,['বুলবুল']
টবে,3,"['মিটবে', 'ঘটবে', 'কাটবে']"
লবি,2,"['মৌলবির', 'বলবি']"
মবা,4,"['সোমবার', 'প্রথমবারের', 'গ্রামবাসী']"
লব্ধি,1,['উপলব্ধি']
নবা,3,"['বয়ানবাজি', 'যানবাহনও', 'তিনবার']"
িবর্ত,2,"['পরিবর্তনের', 'গিরিবর্ত্ম', 'পরিবর্তন']"
ড়বে,1,['ছাড়বেন']
লবন,2,"['লবন', 'ফুলবনেৃৃগান']"
রবি,3,"['রবিবার', 'পরস্পরবিরোধী', 'রবিবারে']"
িবহ,1,['পরিবহন']
াবছ,3,"['ভাবছিলাম', 'ভাবছে', 'ভাবছি']"
েবা,4,"['সিলেবাসের', 'সিলেবাস', 'একেবারেই']"
রবত,1,['নীরবতা']
শবন,1,['কাশবনের']
আবহ,1,['আবহ']
াব্বি,1,['ছাব্বিশশে']
াবো,1,['দ্বিধাবোধ']
ুবা,2,"['বহুবার', 'নতুবা']"
লবা,4,"['উপকূলবাসীর', 'ফেলবার', 'উপকূলবাসী']"
অবধ,1,['অবধি']
িবছ,1,['প্রতিবছর']
ুবি,3,"['সুবিধাবঞ্চিত', 'সুবিধা', 'অসুবিধা']"
াবঞ্চ,1,['সুবিধাবঞ্চিত']
শব্দট,2,"['শব্দটি', 'শব্দটির']"
রব্বি,1,['মুরব্বিরা']
ঝবর,1,['মাঝবরাবর']
াবর,1,['মাঝবরাবর']
ুবে,1,['ডুবে']
আবও,2,"['আবওহাওয়ার', 'আবওহাওয়া']"
ীব্রত,1,['তীব্রতা']
কবল,2,"['কবলে', 'কবলিত']"
ংবর্ধ,1,['সংবর্ধনা']
ংবা,2,"['সংবাদপত্রে', 'সংবাদ']"
ণবত,1,['গুণবতী']
পবত,1,['রূপবতী']
হবু,1,['হবু']
জবা,4,"['জবাব', 'জবাবের', 'জবাবে']"
গবা,3,"['ভগবানের', 'ভগবান', 'গবাদি']"
ুবল,1,['খুবলে']
ড়বা,1,['নাছোড়বান্দা']
িবি,2,"['বিসিবি', 'প্রতিবিম্ব']"
কবি,1,['কবিতার']
াব্দী,2,"['শতাব্দীর', 'শতাব্দী']"
অবয়,1,['অবয়ব']
আবছ,1,['আবছা']
াবট,2,"['ক্লাবটিতে', 'ক্লাবটির']"
দবি,1,['বেয়াদবি']
াব্যা,1,['মাথাব্যাথা']
অবস,1,"['অবসর', 'অবস্থা', 'অবস্থান']"
টবল,1,['ফুটবল']
ুব্ধক,1,['লুব্ধক']
াবক,1,['উদ্ভাবকের']
লব্যে,1,['একলব্যের']
াবড্য,1,['ড্যাবড্যাব']
অবর্ণ্য,1,['অবর্ণ্য']
িবর্ত্ম,1,['গিরিবর্ত্ম']
ীবহ,1,['যাত্রীবহনকারী']
াবস,1,['এ্যাবসেন্ট']
আবে,1,['আবেদনপত্রটি']
ষবা,1,['শেষবাজার']
লবো,1,['বলবো']
সবৃ,1,['সবৃ']
রবী,1,['রবীন্দ্রনাথ']
োবন,1,['তপোবন']
হবা,1,['জন্মগৃহবাসের']
াব্যগ,1,['কাব্যগত']
িভি,2,"['বিভিন্ন', 'বিভিষিকা']"
ীভা,2,"['কীভাবে', 'কীভাবেই']"
এভা,2,"['এভাবেই', 'এভাবে']"
োভা,5,"['আলতোভাবে', 'মনোভাবের', 'মনোভাব']"
ুভব,1,['অনুভব']
অভা,2,"['অভাজন', 'অভাব']"
ইভা,2,"['ড্রাইভার', 'ভাইভার']"
আভা,1,['আভা']
অভি,9,"['অভিজ্ঞা', 'অভিনেত্রীর', 'অভিযুক্ত']"
অভ্যা,2,"['অভ্যাসবশত', 'বদঅভ্যাস']"
ুভ্রত,2,"['শুভ্রতায়', 'শুভ্রতা']"
ইভি,1,['ড্রাইভিং']
ুভে,2,"['শুভেচ্ছা', 'শুভেচ্ছাবার্তা']"
রভি,1,['ইন্টারভিউ']
ওভা,3,"['ওভার', 'ওভারে', 'ওভারটি']"
নভা,2,"['স্বাধীনভাবে', 'এমনভাবে']"
াভো,1,['মহাভোজের']
িভক্ত,1,['বিভক্ত']
িভা,4,"['বিভাগের', 'প্রতিভাবান', 'ডিভানে']"
সভা,1,['জনসভায়']
লভা,1,['স্পেশালভাবে']
অভ্যস্ত,1,['অভ্যস্ত']
ুভূ,2,"['অনুভূতিগুলো', 'অনুভূতিগুলোও']"
িভূ,2,['বিভূতিভূষণ']
গভী,1,['গভীর']
াভা,3,"['করোনাভাইরাসের', 'স্বাভাবিক', 'পূর্বাভাস']"
ীভৎ,1,['বীভৎস']
ছভর,1,['গাছভরা']
ৌভা,1,['সৌভাগ্যের']
িভৎ,1,['বিভৎস']
খভা,1,['দেখভাল']
মভা,1,"['সূক্ষ্মভাবে', 'অবিরামভাবে']"
োভি,1,['কোভিডের']
রভা,1,"['সুন্দরভাবে', 'প্রভাবে']"
য়ভা,1,['অন্যায়ভাবে']
েভা,1,['ফ্লেভারের']
উভয়,1,['উভয়']
িভু,1,['অধিভুক্ত']
আমা,8,"['আমাকে', 'আমার', 'আমায়']"
আমি,3,"['আমিই', 'আমিও', 'আমি']"
এমন,5,"['এমনিতেই', 'এমনই', 'এমনকি']"
ুমি,5,"['ঘুমিয়েছিস', 'রুমির', 'তুমি']"
োমা,6,"['তোমাদের', 'বোমাটি', 'রোমাঞ্চকর']"
সময়,11,"['সময়', 'সময়মতো', 'সময়েও']"
োমর,1,['তোমরা']
ামন,3,"['সামনে', 'কামনায়', 'সামনের']"
সমু,6,"['সমুদ্রের', 'সমুদ্রে', 'সমুচ্ছ্রিত']"
সম্ভব,3,"['সম্ভব', 'সম্ভবত', 'অসম্ভব']"
সমস্য,3,"['সমস্যা', 'সমস্যাগুলো', 'সমস্যার']"
েমন,4,"['তেমনি', 'হেমন্ত', 'কেমন']"
ামী,6,"['আসামীকে', 'স্বামীসহ', 'আগামী']"
ামে,7,"['দামে', 'নামে', 'নামেই']"
সমস্ত,1,['সমস্ত']
আমর,1,['আমরা']
নমা,1,['স্টেশনমাস্টার']
ামর্শ,2,"['পরামর্শ', 'পরামর্শমতো']"
আম্মা,1,['আম্মা']
ৌমা,3,"['বৌমাকে', 'বৌমার', 'বৌমা']"
হমর্ম,1,['সহমর্মিতা']
েমে,2,"['থেমে', 'নেমে']"
আম্মু,2,"['আম্মুর', 'আম্মু']"
থমে,3,"['থমথমে', 'প্রথমে', 'প্রথমেই']"
সম্মা,1,['সম্মান']
সমা,4,"['সমান', 'হিন্দুসমাজে', 'সমাসের']"
ামা,16,"['মহামারির', 'জায়নামাজে', 'সাদামাঠা']"
কমল,1,['কমলা']
ুমা,4,"['ঘুমানো', 'সুকুমার', 'হুমায়ুন']"
ুমড়,2,"['গুমড়ে', 'কুমড়া']"
শমি,1,['দশমিক']
জমি,5,"['জমিদার', 'জমিতে', 'জমিগুলোতে']"
এমপ,3,"['এমপি', 'এমপির', 'এমপিদের']"
িমা,4,"['মূর্তিমান', 'পরিমাণ', 'জরিমানা']"
চমক,1,['চমকে']
সম্পর্ক,2,"['সম্পর্ক', 'সম্পর্কে']"
নমে,1,['এ্যাসাইনমেন্ট']
জমা,1,['জমা']
ুমত,1,['অনুমতি']
ামক,2,"['নামকরা', 'নামক']"
ুমে,6,"['ঘুমে', 'রুমের', 'রুমেও']"
ুমট,1,['রুমটা']
সম্পদ,1,['সম্পদ']
িমন্ত্র,1,['নিমন্ত্রণ']
ামি,9,"['সুনামি', 'নিরামিষ', 'কামিজে']"
কম্পি,1,['কম্পিউটার']
অম্লা,1,['অম্লান']
নম্বর,1,['নম্বর']
সম্পন্ন,1,['সম্পন্ন']
ড়মো,1,['আড়মোড়া']
সমচ্চ,1,['সমচ্চারিত']
সম্বি,2,"['সম্বিত', 'সম্বিৎ']"
ামল,4,"['শাসনামলের', 'সামলে', 'মামলা']"
কমত,1,['ঠিকমতো']
কমই,1,['কমই']
োমল,1,['কোমল']
টমি,1,['মিটমিট']
ামব,2,"['নামবে', 'গ্রামবাসী']"
হময়,2,"['মোহময়', 'স্নেহময়']"
রম্পর,1,['বংশপরম্পরায়']
অমন,1,['অমনি']
ধমক,1,['ধমক']
আমল,1,['আমলা']
রম্যা,3,"['পারফরম্যান্স', 'পারফরম্যান্সের', 'চেয়ারম্যান']"
ামম,1,['নামমাত্র']
মমা,1,['নামমাত্র']
রমর,1,['রমরমা']
রমা,1,"['রমরমা', 'প্রমাণ']"
চমৎ,1,['চমৎকার']
ূমি,1,['ভূমিকা']
ইমে,2,"['টাইমে', 'সেলাইমেশিনটা']"
োমে,1,['কোমেন']
আম্ফা,1,['আম্ফান']
ামু,1,['মামুষের']
ণমা,1,['গণমানুষের']
থমব,1,['প্রথমবারের']
াম্বা,1,['নাম্বারটা']
োমু,1,['মুখোমুখি']
োমব,1,['সোমবার']
য়মত,1,['সময়মতো']
নমূ,1,['অনুধাবনমূলক']
গমগ,1,['গমগম']
ীমত,1,['অসীমতা']
েমা,1,['সিনেমার']
পমত,1,['মাপমতো']
েম্বর,1,['ডিসেম্বর']
ীমউ,1,['জসীমউদ্দীন']
কমা,3,"['কমান', 'কমাতে', 'একমাসের']"
িমু,3,"['বিমুগ্ধতা', 'হাসিমুখটা', 'বিমুখ']"
থমদ,1,['প্রথমদিকে']
ামত,3,"['কথামতো', 'মেরামত', 'ইচ্ছামতো']"
দমক,1,['দমকা']
সম্বল,1,['সম্বলগুলো']
শমত,1,"['নির্দেশমতো', 'পরামর্শমতো']"
ামছ,1,['গামছা']
ুমু,1,['দুমুঠো']
থমথ,1,['থমথমে']
উমা,2,"['বউমা', 'হাউমাউ']"
য়মক,1,['নিয়মকানুন']
সম্মত,1,['সম্মতিসূচক']
ামর্থ্য,1,['সামর্থ্য']
আমদ,1,['আমদের']
জমক,1,['জাঁকজমক']
োম্পা,1,['কোম্পানিতে']
ামস,2,"['গ্রামসহ', 'ড্রামস']"
ামড়,1,['চামড়াটাই']
জম্বি,2,"['জম্বিগুলো', 'জম্বি']"
ামট,1,['দামটা']
িমি,1,['নিমিষেই']
শমা,1,['চশমাটা']
দম্পত,1,['দম্পতিকে']
িমে,3,"['নিমের', 'আলটিমেটাম', 'টিমে']"
ামভ,1,['অবিরামভাবে']
ীমে,1,['অসীমের']
রমে,1,"['ইনফরমেশন', 'আশ্রমে']"
িমধ্য,1,['ইতিমধ্যে']
অমূ,1,['অমূল্য']
আমন্ত্র,1,['আমন্ত্রণ']
লম্বি,1,['প্রলম্বিত']
িম্নম,1,['নিম্নমুখী']
ামগ্র,1,['প্রসাধনসামগ্রী']
িম্নে,1,['নিম্নে']
াম্পে,1,['স্ট্যাম্পে']
কমছ,1,['কমছে']
সমন্ব,1,['সমন্বয়ে']
সম্প্রদ,2,"['সম্প্রদায়ের', 'সম্প্রদায়কে']"
গমন,1,['গমনে']
েম্ব্রে,1,['মেম্ব্রেন']
সম্ভ্রম,1,['সম্ভ্রম']
ীমা,1,['মীমাংসা']
ামদ,1,['জামদগ্ন্য']
জমদ,1,['জমদগ্নি']
অম্লপ,1,['অম্লপিত্ত']
য়মে,1,['নিয়মে']
েমন্ত,1,['হেমন্ত']
ণমো,1,['ঋণমোচনের']
সম্বন্ধ,2,"['সম্বন্ধীয়', 'সম্বন্ধে']"
োমত,1,['ঐককোমততো']
সমৃ,1,['সমৃদ্ধি']
লমা,1,['গোলমাল']
তমা,1,"['বর্তমানে', 'তমাদেরই']"
তমি,1,['তমিৃ']
ঘমা,1,['মেঘমালা']
ামঠ,1,['রামঠেলায়']
ইমু,1,['সাইমুম']
সম্ভা,1,['সম্ভাবনা']
িমঘ,1,['নিমঘি']
ুযো,1,['সুযোগ']
িযো,2,"['মুক্তিযোদ্ধারা', 'অভিযোগ']"
্যা,5,"['জ্যাকেট', 'জ্যাম', 'সমস্যা']"
নযো,1,['মনযোগ']
্যো,1,"['সু্যোগ', 'দুর্যোগ', 'দুর্যোগের']"
ুযা,1,['অনুযায়ী']
আযা,1,['আযান']
ংযো,1,['সংযোজন']
িযু,1,['অভিযুক্ত']
ণযগ্য,1,['গ্রহণযগ্য']
ংযু,1,['সংযুক্ত']
ইযে,1,['এইযে']
হযো,1,['সহযোগে']
করে,11,"['করেছি', 'করে', 'করেও']"
করু,1,['করুন']
করত,6,"['করতে', 'করত', 'করতল']"
ারা,33,"['তারা', 'মুষলধারায়', 'দ্বারায়']"
ুরু,9,"['শুরু', 'পূর্বপুরুষদের', 'গুরু']"
