n_gram,freq
োমত,1
সমৃ,1
লমা,1
তমা,1
তমি,1
ঘমা,1
ামঠ,1
ইমু,1
সম্ভা,1
িমঘ,1
ুযো,1
িযো,2
্যা,5
নযো,1
্যো,1
ুযা,1
আযা,1
ংযো,1
িযু,1
ণযগ্য,1
ংযু,1
ইযে,1
হযো,1
করে,11
করু,1
করত,6
ারা,33
ুরু,9
ারে,39
ইরে,3
করা,10
ধরে,4
করল,6
মরা,3
আরও,1
করব,3
ঘরে,2
পরে,5
েরি,3
এরপ,1
ারি,23
ুরো,2
িরে,6
পর্যন্ত,1
করো,4
এরা,2
ারণ,10
ৈরি,1
ভরে,1
ারো,3
েরা,10
করি,7
শরী,3
ারপ,4
দরজ,5
ারত,5
ারব,4
েরো,5
পরা,5
পরী,4
ূরে,1
িরা,8
মর্মি,1
িরল,4
পরি,21
ারছ,3
ুরে,8
েরণ,2
করছ,7
ির্দে,3
আরে,3
বরং,1
গরম,1
ুরত,1
ারল,3
পর্যস্ত,1
সরক,4
জরু,2
ুরী,3
হরণ,1
োরে,6
গরে,2
ধরত,1
বরট,1
ুরি,4
সরে,2
ারী,4
পরূ,1
ৌরব,1
ির্ভা,2
েরে,5
ারও,7
এরক,1
অর্থন,1
ূর্তি,1
ির্বা,1
ার্জন,3
জরি,1
ীরে,4
বর্ণন,1
ির্দি,1
পরব,2
বর্তী,3
লরা,2
তরট,1
ার্তা,1
ইরা,2
ূর্তে,2
ার্যক,1
ারক,6
কর্কশ,2
বরদ,1
ওরা,1
পর্যয়,1
ারভ,1
ুর্দা,2
পরপ,1
বরে,1
দরে,1
ারই,4
ঘরট,1
তরা,4
বর্ধন,2
ুর্না,1
ির্দয়,1
ার্টি,2
ভর্,1
ধরা,2
ারট,6
োর্টে,1
ূর্বদ,1
ারস,2
ওরও,1
ুর্ঘট,1
অর্জন,2
কর্তা,2
ভরস,1
ারশ,1
সরল,2
পরম্প,1
পর্বে,2
কর্মী,2
জরে,2
বরব,1
ারম্য,1
েরই,3
ভরব,1
মরম,1
ূরণ,1
অর্থে,2
ূর্বে,2
ারদ,2
ূর্যে,1
ডরে,1
ার্গি,1
োরা,4
ূর্ণি,1
দরু,1
ুরা,5
তরে,2
ার্থে,2
ভরত,1
ির্মা,2
ীর্ঘস্থ,1
োরো,1
বর্তন,2
েরট,1
ার্টে,2
ধরল,2
অর্ডা,1
িরক্ত,2
ার্সো,1
দরক,1
ধরন,1
আরক,1
ীরব,1
জরক,1
িরন্ত,2
ীর্ণত,1
ার্বত,1
মরি,2
তর্পণ,2
ূর্বপ,2
শরর,1
ার্থক,2
ীরট,1
েরক,4
োরি,1
ূর্গা,2
ীরূ,1
টর্নে,1
ুর্যো,2
িরপ,1
ুর্দশ,3
নর্বা,1
খরচ,1
ুরব্ব,1
বরা,1
ূর্বা,1
ূরত্ব,2
ারস্ব,1
মর্শম,1
করণ,4
ীরা,3
ৃরূ,1
ারহ,2
িরো,3
োরক,1
ারগ,1
ধর্মী,1
সর্বো,1
মর্যা,1
মরণ,1
ার্মে,1
ুরই,1
বর্তম,1
ূর্ভি,1
উরে,1
ঠরে,1
ঝরছ,1
চর্মস,1
ার্গে,1
িরি,2
ভরা,2
ুরন,1
শরু,1
পরত,1
নরা,3
োর্টা,2
ির্ভর,1
েরও,2
হরে,2
হরক,1
ারফ,2
ফরম্য,2
ির্ধা,1
এরই,1
ারর,1
ররা,1
দর্শী,1
ফরম,1
দরট,1
সরি,1
আরা,1
সর্দি,1
খরা,1
গরি,1
হরই,1
মরে,1
ঝরে,1
িরত,3
িরছ,1
থরগ,1
ুর্বল,2
বর্ডা,1
ার্নি,1
বর্ষা,2
গরু,1
ঊর্ধ্বম,1
বরই,2
ভর্তা,1
ফরা,1
ারন,1
কর্মধ,1
ারয়,1
গর্ভা,1
কর্মা,1
পরস্প,1
শরা,1
ৌরজ,1
পর্যা,1
োর্ডে,1
আরম্ভ,1
ির্জা,1
পর্বত,1
ধর্মগ্র,1
তরব,1
িরণ্ম,1
ির্মি,1
ার্কল,1
অর্থগ,1
দরা,1
তর্কে,1
বর্গী,1
মর্ত্যে,1
ৈর্ব্যক্ত,1
ূর্ছন,1
কর্ত্রী,1
আর্দ্রত,1
ুর্লভ,1
ার্শ্বি,1
ার্হস্থ্য,1
ংরে,1
নরে,1
তরঙ্গ,2
ভরপ,1
ার্লি,1
চরণ,1
িরশ্ছ,1
পরশ,1
ৌরা,1
ারল্য,1
কর্তৃ,1
শরৎ,1
মর্ণে,1
ণরা,1
ৈরা,1
িরু,1
দর্শে,1
ধরু,1
ঊর্ধ্বে,1
মরছ,1
ঘরো,1
আরক্ত,1
ারু,1
এরূ,1
দর্শন,1
সর্বা,1
ুর্জ্ঞে,1
োর্ফা,1
চর্মণ্ব,1
হলো,2
বলে,14
চলে,2
ালো,15
বলত,5
রলা,4
হলে,8
বলল,4
ললে,5
েলে,29
ালে,18
খলা,1
েলা,17
ুলো,37
ঝলা,1
বলা,4
ুলে,7
বলছ,3
িলা,26
রলে,5
হলা,1
চলব,1
ংলা,4
সলে,5
োলা,9
ালি,8
িলে,14
জলদ,1
সলা,1
কলা,3
ালন,2
চলছ,1
আলো,5
কলে,4
ালয়,6
আলা,1
ইলা,2
চলা,3
বলব,6
ড়লা,1
এলা,3
ুলন,1
খলে,3
গলা,4
নলা,2
ালচ,1
মলা,4
ললা,2
ুলি,6
ালক,5
এলো,1
চলি,2
বলি,2
বলদ,2
েলল,3
চলল,1
পলি,1
ালা,21
ঠলা,1
জলর,2
এলি,1
েলো,4
েলত,2
বলো,1
ুলু,2
ইলট,1
দলে,1
িলো,1
আলত,2
চলো,1
ঠলো,1
আল্লা,2
রলত,1
ুলধ,1
াল্গু,1
ষলধ,1
গলি,2
ছলে,1
ুলল,1
গলে,2
কলি,3
ফলা,3
তলি,1
ঘলা,1
োলো,3
ুলব,2
জলো,2
েলফ,2
কল্পে,1
পলক্ষ,2
ৌলব,1
পলব্ধ,1
ইলে,7
রলো,1
ালভ,1
ূলক,1
চল্লি,2
িলি,2
ালী,2
ালত,3
ুলগ,2
সলি,2
েলি,3
ুলও,1
এলে,1
ূলব,3
ূলী,1
গল্পে,2
তলে,1
েলব,1
চলত,2
ূলে,2
উল্টে,1
ৌলি,1
োলে,4
ঝলে,2
সলজ্জ,1
ড়লে,2
োলু,1
কল্পন,1
আলু,1
গলো,1
ফলন,1
কলো,1
ালও,1
ালগ,1
োলি,1
ুলত,1
অলআ,1
অলি,1
মলে,2
গল্পগ,2
ুলা,1
আলট,1
অলস,1
ীলত,1
বলী,1
চলু,1
িলত,1
ঢলে,1
বলু,1
উল্লে,1
ূল্যব,1
উল্লা,1
তলা,2
দলো,1
উল্টা,1
ঝলি,1
কলব্য,1
িলক,1
য়লে,1
ালপ,1
অলঙ্ঘ্য,1
অলঙ্ঘ,1
আলস্য,1
ৎলা,1
অলক্ষ্য,1
ালব্য,1
উল্কা,1
গল্ভত,1
েলু,1
রল্যত,1
োলম,1
উল্টো,1
াল্যক,1
জলে,1
েলছ,1
দলও,1
ৈলে,1
োলন,1
ফলে,1
বল্কল,1
িল্বি,1
কল্মষ,1
াশে,14
াশু,3
েশে,5
েশি,2
েশন,8
িশ্বা,6
িশ্রম,1
ুশি,3
িশ্রা,1
ংশে,2
ুশে,1
িশো,3
িশ্চয়,4
আশে,2
আশা,3
নশন,2
বশত,1
ঃশ্চি,1
িশড,1
দশম,1
আশ্বি,1
াশফ,1
ংশধ,1
কশা,1
বশ্যই,1
ুশ্চি,2
আশ্বস্ত,1
িশা,6
াশি,5
েশ্যে,1
িশে,5
নশে,1
ঁশক,1
েশট,3
ৈশি,1
েশী,3
দশা,3
আশ্বা,1
আশঙ্ক,2
িশ্চি,2
রশি,2
পশি,1
েশা,2
াশা,4
েশক,2
ংশপ,1
িশু,2
বশে,2
িশ্বব,3
আশ্রম,1
াশই,1
নশা,2
াশব,1
মশা,1
ংশর,1
িশশ,1
শশে,1
াশং,1
িশি,1
িশ্বক,3
াশো,1
ৈশো,1
িশখ,1
আশং,2
েশম,1
আশ্রয়,2
পশ্চি,1
পশু,1
ঃশ্বা,1
বশি,1
াশর,2
ইশ্,1
চশম,1
ঃশব্দ,1
ডশি,1
পশক্ত,1
িশ্বে,1
আশ্লে,1
িশয়,2
িশব্দ,1
অশ্বথ,1
াশ্মী,1
রশ্ছে,1
রশু,1
ৈশজ,1
বশ্যত,1
িশ্বচ্য,1
ঈশ্বর,1
ুশী,1
াশন,1
ৃষ্টি,9
ুষে,4
েষ্টা,2
িষ্টি,1
ুষক,2
িষ্পা,1
িষয়,4
ুষগ,3
ঔষধ,1
িষে,3
েষণ,2
াষি,2
িষি,1
েষে,5
াষা,2
েষা,1
ুষ্ঠা,3
ৃষ্ঠা,1
িষণ্ন,1
োষা,1
ুষট,1
ুষু,1
আষা,1
ুষল,1
োষক,1
ুষ্টু,1
োষণ,2
ীষণ,1
ুষত,1
ুষদ,2
ূষণ,1
িষ্ণু,1
কষা,2
িষ্পে,1
েষি,1
যষ্ঠি,1
িষ্ঠা,5
ুষা,1
ৃষি,1
াষী,1
কষ্টই,1
েষও,1
ওষু,1
ুষ্টি,2
ঁষে,1
িষ্ক্রি,1
ুষ্কর্ম,1
ৈষ্ণব,1
ৃষ্ণক,1
িষ্কল,1
িষ্যা,1
িষ্কে,1
িষ্কা,1
ীষ্মক,1
ুষ্মা,1
িষ্ফল,1
িষ্প্রয়,1
ঋষি,1
কষো,1
িষ্যে,1
েষব,1
অষ্টম,2
োষে,1
ৈষ্কর্ম্য,1
ৃষ্বস,1
বসে,6
এসে,5
এসব,1
াসা,13
বসম,1
আসত,1
বস্থা,2
আসে,2
মস্যা,3
আসল,2
েসব,4
াসে,22
বসল,3
াস্তা,4
াসি,9
াস্টা,4
েসে,4
কসা,1
অসম্ভ,1
আসন,1
আসব,2
ংসা,6
ইসব,1
আসা,4
িসে,6
পস্থি,2
অসী,3
অসা,2
াসব,1
আসি,1
ুসত,1
রসি,1
বসু,1
াসন,9
বসা,2
ইস্,1
ণস্থা,1
কসই,1
হসন,1
িসি,3
অসু,2
হসী,2
য়সে,3
ংসট,1
পস্থা,1
ৎসন,1
সস্ত্রী,1
আসছ,1
াসত্ব,1
রসা,2
াসও,2
ৎসা,1
িস্টে,1
াসছ,1
ীসে,2
তস্যা,1
সস্নে,1
াসঘ,1
েস্তা,1
ংস্থা,1
দসহ,1
নসহ,1
াস্যক,1
বস্তা,1
ুস্থভ,1
ঃস্বপ্ন,1
আসো,1
িসহ,2
নসভ,1
ুসল,1
জসী,1
নস্টা,1
কসম,1
াসী,6
অসং,1
ইসড,1
নসি,1
াস্তব,1
রস্বর,1
আসন্ন,1
াসই,1
িস্ট্রে,1
তস্তত,1
বসো,1
িসূ,1
এসো,1
হস্যজ,1
িস্থি,2
মসহ,1
াসপ,1
েসি,1
অস্থি,1
ফসল,1
োসল,2
রসু,1
ীসহ,2
াসহ,1
ীসব,1
আসর,1
অস্বস্ত,1
নসা,2
লসে,1
াস্টব,1
বসর,1
াসগ,1
বসি,1
িস্তা,1
বস্তু,2
াস্ত্রম,1
রস্পর,1
ুস্মি,1
অস্ত্রে,1
ুসম,1
ুসং,1
ংস্কা,1
কসি,1
পসই,1
ুস্বা,1
াস্ত্রে,1
ভস্মে,1
িস্টা,1
হস্পর্শ,1
ৎসব,1
রসং,1
মস্তি,1
অস্পর্শ্য,1
িস্ত্বক,1
আস্ফা,1
োস্কা,1
বসন্ত,1
ঃস্থল,1
ঃস্ফূ,1
আসক্ত,1
ূসর,1
খসি,1
ৎসু,1
াস্থা,1
াহল,5
াহা,9
াহস,4
শহর,5
মহা,12
বহা,2
সহম,1
ইহো,1
ধহয়,1
াহর,2
গহন,4
াহি,4
াহে,3
সহক,1
ুহূ,3
ুহা,1
েহে,3
বহৃ,1
বহু,3
োহন,1
েহা,2
সহজ,2
োহম,1
আহা,2
মহো,1
বহন,2
াহন,1
াহু,2
ৃহি,1
াহো,1
ওহা,2
রহি,1
রহা,1
েহগ,1
পহা,1
রহস্য,1
মহি,1
সহই,1
সহা,1
োহা,1
আহ্বা,1
আহ্লা,1
শহী,1
মহক,1
াহী,1
াহত,1
এহে,1
বহি,1
ীহা,1
সহস্র,1
াহ্ণে,1
াহ্মণ,1
িহা,3
িহঙ্গ,1
াহং,1
ৃহব,1
েহম,1
িহি,1
সহয,1
মার,14
তার,27
তাদ,4
তাক,10
সাথ,2
যায়,4
মাক,5
মাদ,4
বার,41
কাছ,6
থাক,15
বাড়,13
কাজ,8
ভাল,10
পার,29
বাব,8
মান,29
নার,14
বাই,10
তাই,1
যাও,5
য়ার,15
নাক,1
গাড়,7
লাম,47
বাস,20
সায়,3
হাজ,4
জার,10
যাব,5
ঠাৎ,1
সার,15
রাদ,2
রার,5
পাশ,15
ভাব,41
তাহ,4
থাও,2
পাও,3
মাথ,4
যাচ্ছ,5
হাত,8
মাঝ,5
খার,5
রাপ,2
দাঁ,11
নাদ,2
মাছ,3
কাই,1
গাছ,7
শাশ,3
পাঁ,3
সাম,9
চাচ,5
কাল,20
হার,14
ঝায়,1
থায়,4
মাত্র,3
সাত,1
জান,24
নান,6
সাধ,4
ধার,11
কার,39
বাজ,13
খান,16
ভাই,7
মাস,5
দায়,9
রাগ,6
জাল্ট,1
রাত,8
পায়,5
বাক,5
লাগ,16
সাদ,4
সাহ,7
হায্য,1
দাও,1
যান,3
বাং,4
নাম,13
য়াল,3
ছান,4
নায়,8
কাশ,10
পান,5
জায়,6
গান,6
তাও,2
ছাত,5
খাল,4
বাঁ,9
টাক,7
চাই,5
ছাড়,9
গাম,3
মায়,5
খাপ,2
চাক,5
জাও,3
কাপ,4
ছাদ,2
শান্ত,3
চায়,3
তাম,8
খাব,7
থাগ,1
খাই,2
রাস্ত,3
হাস,9
পাল,2
হাঁ,3
দাব,3
লার,12
রাখ,10
মাস্ট,4
রাম,11
পাড়,6
লাল,5
হাল,6
রান্ন,1
বাদ,6
যার,2
খাত,7
তায়,6
যাক,2
চার,11
ডাক,10
গাব,1
লাদ,3
টান,8
তাঁ,1
মাঠ,4
নাই,2
নাত,4
ঠান্ড,1
সান্ত্ব,1
পাখ,5
কান্ন,1
নাস্ত,1
থাট,1
পাই,2
যাই,2
লাচ,1
য়াজ,5
ছায়,2
লাক,6
কায়,5
লাপ,1
তাত,2
তাট,2
হায়,2
খাও,5
ভার,9
ড়াল,5
থাই,1
রান,5
শাড়,1
টাস,1
লাঙ্গ,1
দাহ,1
সাগ,3
ড়াক,1
বাধ্য,1
গাত,1
ভাস,4
সাড়,3
লায়,4
হাম,2
মাং,2
যাত,1
চাপ,4
ভাঙ,2
মাধ্য,1
থাম,3
পাত,8
নাও,3
মাত,4
খাঁ,6
কাত,4
ঘাট,2
যাদ,1
ভাগ্য,3
নাল,9
পাঠ,3
পাব,2
পাচ্ছ,5
বাহ,3
রান্দ,2
কাক,2
গাদ,1
ডাল,1
জাজ,1
বাক্য,3
দান,8
বাম,1
কাউ,1
হাখ,1
বাত,4
দার,7
শাস,7
ধাপ,1
মাট,4
লাভ,1
চাত,1
চাষ,4
তাস,4
পার্জ,2
চাল,7
লান,8
খাচ্ছ,1
গাই,3
শাক,2
ধাত,1
যাস,1
সাই,4
শাল,6
রাশ,4
পার্ক,1
মাণ,2
কাড,1
ড়ান,6
দাদ,3
বার্ত,1
তাশ,4
রাল,2
পাধ,1
কান্ত,3
য়াব,3
ড়ায়,7
কার্য,1
ভাষ,2
ষায়,2
লাই,8
সাপ,2
চান,2
পাট,2
টাত,2
যাত্র,4
ছাক,1
বাগ,3
নাগ,3
খাম,2
রায়,8
ঘাব,1
নাহ,2
ধান,6
ফাই,2
কাট,12
টাই,8
দাম,6
চাদ,3
কাঁ,4
টার,10
ধাক্ক,1
ডাক্ত,1
তাড়,5
ড়াত,6
সার্ট,1
নাঘ্র,1
খাট,3
ঢাক,4
নাচ,1
কাঙ্ক্ষ,2
দাস,1
খাদ্য,1
মাপ,2
বান,8
ভাগ,3
রাজ্য,1
সাজ,2
হাই,1
তাল,4
ঝাল,3
লাত,3
ঘাপ,1
চাট,1
টাও,6
রাই,6
সাফ,2
কান,8
ঠাব,1
ডার,1
হাভ,1
চাচ্ছ,1
শার,5
জাট,1
যাঁ,1
ভাজ,1
কাদ,2
ষাঢ়,1
ভাদ্র,1
ফাল্গ,1
তাছ,1
নাড়,3
বাট,2
নাপ্র,1
গাল,3
লাজ,1
সাব,2
গার,1
ধাব,4
মাল,4
মাঘ,1
ঘাত,3
ছার,1
শায়,3
য়াট,3
পাপ,1
বাদ্ন,1
সাল,3
চাও,1
লাও,2
বাচ্চ,4
শাব,1
মাঞ্চ,2
ফাল,2
ঝার,1
হা্,1
নার্গ,1
য়ান,3
রাহ,1
য়াত,2
সাঁ,5
মাম,2
হাস্য,1
লাব,1
তাং,1
কাব,4
বাল,1
ছাগ,1
ঝাত,1
য়ায়,4
পাঞ্জ,2
ভাড়,2
ড়াট,2
সাক্ষ,3
নাম্ব,1
শার্ট,2
কাম,4
নাথ,2
ছাত্র,3
বাঘ,1
লান্স,1
নাব,2
ভায়,2
পার্স,1
গান্ত,1
টায়,5
জাস্ট,1
য়াক্ক,1
লাহ,2
শান,2
কাড়,1
থার,1
হাও,3
পার্ব,1
ড়াহ,2
যান্ত্র,1
লাক্স,1
ভান,2
জান্ত,1
বাঙ,1
ঙাল,1
ঠাত,1
যাহ,1
সান,4
ছাব্ব,1
মার্চ,1
জাদ,2
খায়,1
ছাই,1
ঠার,2
হার্ট,1
যাট,1
ড়ার,4
ঘাঁ,1
পাক,2
ড়াশ,1
মাধ,1
বাস্ত,1
ষাঘ,2
রাক,1
রাব,1
গাং,2
জাল,1
পার্ট,2
হাব,2
রাজ,4
নাঘ,1
রাট,2
ঘাড়,3
য়াই,1
জাঁ,1
য়াও,1
ডাউ,1
ফার্ম,1
গায়,1
হাড়,4
চাম,1
য়াশ,3
টার্গ,1
ঝাপ,1
কাঠ,1
হাউ,1
মাউ,1
মাজ,3
শাগ্র,1
থাস,1
সাধ্য,1
নাফ,1
ফার,1
পাদ,2
রাও,1
সাগ্র,1
হাপ,1
জাত,2
বাপ,1
নাস,1
নাছ,1
বান্দ,1
ড়াচ্ছ,1
ভাত,1
ছাপ,1
চাব,1
মান্য,1
তাব্দ,2
কাহ,2
নাভ,1
রাস,2
পাহ,3
সার্থ,1
শাজ,1
ফাস্ট,1
লাখ,1
য়াড়,2
ড়াই,1
কাগ,3
লাচ্ছ,1
ঝাঁ,1
কাস্ট,1
টাম,1
ফাঁ,2
চার্জ,1
ড়াছ,1
ড়াও,1
মাব,1
ণাদ,1
নার্জ,1
ডাস্ট,1
য়াদ,1
থাব্য,1
টাল,1
চাহ,1
শাপ,1
গাফ,1
ঠান,1
পান্ত,1
গাট,1
পাথ,1
কার্ন,1
মান্ত,1
মাখ,1
বাগ্ম,1
বাক্প,1
শাস্ত্র,2
ণাক,1
তাব,1
মাশ,1
রাফ,2
কাগ্র,1
পান্থ,1
সান্ধ্য,1
ণাল,1
কাম্য,1
মাহ,1
শাহ,1
ঢাল,1
দার্থ,1
পাস,1
য়াস্ত্র,1
কাগ্র্য,1
পাঙ্ক্ত,1
সাঙ্খ্য,1
সাং,1
বাঞ্ছ,2
কাট্য,1
তাত্ত্ব,1
ডায়,1
পাণ্ড্য,1
সাক্ষ্য,1
কাৎ,1
ডার্ক,1
রাধ্ম,1
হান্ড্র,1
যান্থ্র,1
পার্শ্ব,2
কাশ্ম,1
তাগ,1
রাষ্ট্র,1
গার্হ,1
হাক,1
রাহ্ণ,1
বায়,1
শাখ,1
ষাণ্ম,1
বার্ল,1
জাম,2
ধাপ্প,1
রাত্ম্য,1
রাঙ,1
কাত্ম্য,1
কাত্ম,1
জাপ,1
রাগ্য,1
লাফ,1
রাং,1
হার্য,1
ঠাট্ট,1
টাব,1
বাদ্য,1
বাল্য,1
গাঁ,1
রাৃ,1
ঠাক,1
জাহ,1
হাঙ্গ,1
কাব্য,1
থাস্থ,1
ঘাক,1
বাঙ্ম,1
যাচ্ঞ,1
জাড্য,1
দার্ঢ্য,1
যাজ্ঞ,1
রাঙ্ম,1
নিয়,19
দিয়,6
তিন,6
কিন্ত,1
কিছ,13
ছিল,37
গিয়,7
দিন,25
ড়ির,4
দিত,3
নিজ,5
বিভ,7
ভিন্ন,2
নিত,10
দিক,11
রিয়,8
ভিত,4
ড়িয়,9
দিল,4
রিক,6
কিয়,3
ফির,7
বিয়,4
মিষ্ট,1
ড়িত,2
ঠিক,4
তিদ,2
য়িত্ব,2
লিখ,4
ছিয়,1
রিন,2
নিচ,2
বিছ,3
নিউ,2
মিল,4
থিব,2
মিই,1
মিয়,3
মিন,2
নিট,2
নিব,3
জিজ্ঞ,1
পিছ,2
সিট,3
দিও,2
নির,8
টিম,3
বিশ্ব,14
কিন,5
নিষ্প,2
রিশ্র,1
চিত,4
বিশ্র,1
নির্দ,5
ভিজ,5
নিল,2
রিদ,1
বিপ,5
পিয়,4
খিচ,1
ধিক,1
রিব,11
ড়িট,2
হিস,1
বিষ,5
দিদ,3
ফিস,3
কিশ,3
মিড,2
ডিয়,2
রিপ,2
সিয়,2
নিশ্চ,6
ঠিন,1
ড়িক,1
চিন্ত,3
নিন,2
দিচ্ছ,4
বির্ভ,2
ভিব,1
লিয়,5
রিস,2
শিত,1
লিত,6
ঠিয়,1
লিশ,3
ভিয,2
মিক,6
তিট,2
হিত,2
বিন,4
নিষ,1
চিৎ,3
খিন,1
মিদ,1
তিক,2
টির,3
ষির,1
ভিষ,1
ষিক,2
নিশ,2
নির্ব,1
পিঠ,1
বিক,3
রিম,2
সিভ,1
ডিন,1
চিব,1
মিও,1
বিশ,8
ভিং,1
কিত,3
সিঁ,2
শিক্ষ,5
লিং,3
ছিন,1
শিট,4
সিদ্ধ,2
মিত,1
ভিউ,1
খিত,1
নিং,2
য়িত,3
টিয়,2
ভিজ্ঞ,4
কিক,1
জিন,3
নিস,3
শিব,2
নিম,5
তিথ,2
থিক,2
ফিক,3
হিন্দ,5
ছিস,3
চিগ,1
শিষ্ট্য,1
তিহ্য,1
রিত,5
লিক,5
বিস,2
সিএ,1
শিষ,1
বিচ,1
খিট,3
কিট,3
তিব,5
শিপ,1
টিল,1
লিস্ট,1
তিক্ষ,2
শির,6
বিন্দ,1
মিট,4
রিচ,4
শিখ,2
তিভ,2
বিব,4
চির,2
জিয়,2
লির,2
লিগ,2
ঝিন,1
লিজ,1
দিব,3
খিয়,3
দিই,1
বিদ,4
চিং,1
টিন,1
জিও,3
শিন,1
হিশ,2
সিড,1
তিগ্র,1
বিত,2
পির,1
নির্ম,3
বিখ,1
পিদ,1
টিক,7
মির,3
ড়িই,1
বির,9
মিজ,1
ণিত,1
তির,6
ডিক,1
চিঠ,2
ঠিট,1
সিং,1
য়িং,1
জিস,1
সিচ,1
জিঙ্গ,1
রির,4
নিষ্ঠ,1
সিল,2
সিআ,2
কিং,2
সিন,2
হিল,3
দির,2
থিত,1
টিপ,2
পিত,3
মিস,1
তিগ,3
মিষ,2
হিণ,1
রিল,1
ডিভ,1
টিফ,2
বিদ্র,1
লিদ,1
লিম,2
ডিস,1
বিষ্ণ,1
শিষ্ট,2
পিড,1
ডিট,1
চিয়,1
সিন্দ,1
বিল,2
খিও,1
বিধ,3
বিম,2
লিল,1
ধির,1
সিক,4
ষিত,1
রিণ,1
তিও,1
চিন,3
গিট,1
চিল,2
চিশ,1
নিখ,2
হির,2
চিত্র,1
তিষ্ঠ,5
বিদ্য,3
জিস্ট্র,1
জির,1
নিক,3
তিস,1
ভিন,1
রিং,1
রিস্থ,2
তিত,2
নিঃ,3
শিউ,1
রিড,1
ড়িস,1
ঘির,2
ছিট,1
রিক্ত,1
মিগ,1
পিঁ,2
ণির,1
নিচ্ছ,1
নির্ভ,1
টিং,1
সিব,1
হিন,1
সিম,1
নিশ্ব,1
ফিন,2
জিত,2
ড়িঘ,1
হিম,1
নির্ধ,1
তিম,2
ভিড,1
টিত,1
যিন,1
শিশ,1
ঢিল,1
হিদ,1
ভিড়,1
রিক্স,1
ফিল,1
টিগ,2
দিখ্য,1
বিস্ত,1
বিজ্ঞ,3
তিক্র,1
বিক্র,3
নিষ্ক্র,1
বিদ্ব,2
ড়িও,1
বিট,2
নিম্ন,2
মিথ্য,1
বিজ,2
নিষ্ক,1
ফিদ,1
ড়িষ্য,1
ধিব,1
ভিধ,1
বিক্ষ,1
শিষ্য,2
ঠিত,1
গির্জ,1
তিশ,3
টিস,2
ড়িধ,1
রিদ্র্য,1
নিন্দ্য,1
লিপ্স,1
গির,1
রিষ্ক,1
নিষ্ফ,1
নিষ্প্র,1
হিস্ত্ব,1
পিল,1
দিগ্ব,1
চিত্র্য,1
বিল্ব,1
পিত্ত,2
ধিক্য,1
তিহ,2
রিহ,1
বিম্ব,1
খিদ,1
বিহ,1
বিঘ্ন,1
ছিৃ,1
লিস,1
মিৃ,1
চিত্ত,2
ধিভ,1
তিক্ক্র,1
ণিক,1
তিচ,1
চিহ্ন,1
পিন,1
নিহ,1
কিল্ব,1
কীভ,2
জীব,11
রীর,3
নীল,1
মীক,3
বীর,3
রীক্ষ,4
চীন,4
গীক,1
সীম,4
দীর,1
ধীর,1
সীক,1
নীয়,5
তীক্ষ্ণ,1
ধীন,1
শীদ,1
কীস,3
শীত,3
তীয়,3
ভীষ,1
দীর্ঘ,1
ণীর,2
নীর,1
কীর্ণ,1
তীর,1
বীপ,1
দীন,1
ভীড়,1
লীয়,1
ভীর,1
সীর,3
তীব্র,1
ণীয়,2
লীন,1
তীত,1
বীই,1
বীভ,1
ষীদ,1
মীস,1
নীং,1
নীত,1
কীট,1
নীদ,1
লীল,1
হীদ,1
শীঘ্র,1
সীদ,1
হীন,1
দীপ,1
মীম,1
গীর,1
জীর্ণ,1
দীর্ণ,1
তীক্ষ্ম,1
বীন্দ্র,1
রুন,3
খুব,3
তুম,1
দুই,4
শুর,5
নুষ,10
শুধ,1
ঘুম,7
শুন,14
তুন,1
সুন্দ,2
মুখ,10
শুড়,3
পুর,11
তুই,1
গুল,39
মুদ্র,6
বুঝ,12
তুল,5
ছুই,2
রুম,7
খুন,5
গুছ,1
বুক,7
ভুল,4
ছুক্ষ,2
শুয়,1
খুল,2
সুয,1
কুন,5
নুন,3
খুশ,4
নুভ,3
ঘুর,3
নুপ্র,2
শুক,4
নুর,1
বুত,1
বুও,1
চুড়,1
রুর,4
দুট,2
কুশ,2
শুভ,3
মুক্ত,5
গুন,4
ছুট,1
ড়ুন,2
বুল,6
গুম,1
দুঃ,4
মুগ্ধ,2
শুভ্র,3
ফুল,3
নুদ,4
ফুস,1
বুদ্ধ,1
সুন,6
ভুগ,1
ছুদ,3
গুণ,2
ঢুক,4
খুঁ,4
মুছ,1
পুল,1
দুজ,2
সুস্থ,3
দুশ্চ,2
জুড়,1
নুম,1
মুহ,3
ছুত,1
যুগ,1
পুক,3
কুর,6
ঝুক,1
জুদ,2
সুখ,4
জুহ,1
দুর্দ,5
ধুয়,1
পুত্র,1
নুষ্ঠ,3
দুর্ন,1
লুন,5
চুপ,2
লুচ,2
গুর,4
রুত্ব,1
শুদ্ধ,3
পুন,9
কুঞ্জ,1
তুচ্ছ,1
হুদ,1
বুড়,1
দুর্ঘ,1
কুঁ,2
মুঠ,2
টুক,6
মুষ,3
ষুল,1
দুধ,1
মুড়,2
খুড়,1
ফুচ,1
নুধ,2
ফুফ,1
দুষ্ট,1
জুত,1
সুদ,3
সুঁ,1
দুপ,1
রুণ,1
সুর,2
কুম,4
পুষ,1
কুত,1
ঝুম,1
ভুন,1
ছুক,1
চুয়,1
কুল,1
ছুঁ,1
চুল,1
হুড়,2
রুষ,3
মুস,1
হুম,1
